Re,alpha,airfoil,nf_CL,nf_CD,nf_CM,nf_confidence,nf_CLCD
160,-30.0,Baseline,-0.6926118,0.47310266,0.04929931,1.0062038e-13,-1.4639778
160,-29.5,Baseline,-0.6879071,0.4699263,0.047325037,7.1232577e-12,-1.4638617
160,-29.0,Baseline,-0.68317795,0.46671507,0.045273963,2.703181e-10,-1.4638009
160,-28.5,Baseline,-0.6784254,0.46348092,0.043142006,5.8798837e-09,-1.4637612
160,-28.0,Baseline,-0.67365503,0.46023583,0.04092713,7.808714e-08,-1.463717
160,-27.5,Baseline,-0.66887593,0.45699364,0.038629077,6.7038684e-07,-1.4636439
160,-27.0,Baseline,-0.66409683,0.45376626,0.0362497,3.919102e-06,-1.4635218
160,-26.5,Baseline,-0.6593307,0.45056888,0.033793364,1.6392018e-05,-1.4633294
160,-26.0,Baseline,-0.6545819,0.4474156,0.03126521,5.1233947e-05,-1.4630288
160,-25.5,Baseline,-0.6498471,0.44431815,0.02867179,0.0001247014,-1.4625716
160,-25.0,Baseline,-0.64510757,0.4412857,0.02601939,0.0002455813,-1.4618819
160,-24.5,Baseline,-0.6403304,0.43831742,0.023314575,0.00040664463,-1.4608828
160,-24.0,Baseline,-0.6354572,0.43540138,0.020563105,0.0005882756,-1.4594746
160,-23.5,Baseline,-0.63042,0.432509,0.01777184,0.0007728688,-1.4575882
160,-23.0,Baseline,-0.6251432,0.42959943,0.014948112,0.0009570678,-1.455177
160,-22.5,Baseline,-0.61956006,0.42662433,0.012100762,0.0011505553,-1.452238
160,-22.0,Baseline,-0.6136255,0.4235457,0.009238866,0.0013640773,-1.4487823
160,-21.5,Baseline,-0.6073191,0.42034832,0.006370583,0.0016009598,-1.4447997
160,-21.0,Baseline,-0.60064477,0.41703936,0.0035033436,0.0018557496,-1.4402592
160,-20.5,Baseline,-0.5936358,0.41363966,0.0006455511,0.0021187137,-1.435152
160,-20.0,Baseline,-0.58635813,0.41016832,-0.002190703,0.0023796344,-1.4295549
160,-19.5,Baseline,-0.57892776,0.40663633,-0.004984775,0.0026337563,-1.423699
160,-19.0,Baseline,-0.571489,0.40305728,-0.0077112913,0.0028808466,-1.4178853
160,-18.5,Baseline,-0.56417125,0.39945126,-0.010345113,0.0031247209,-1.4123657
160,-18.0,Baseline,-0.5570464,0.3958571,-0.012868998,0.0033735167,-1.4071907
160,-17.5,Baseline,-0.5501473,0.39233,-0.0152725335,0.003638176,-1.4022565
160,-17.0,Baseline,-0.5435433,0.38893145,-0.017543476,0.0039304513,-1.3975297
160,-16.5,Baseline,-0.5374027,0.3857162,-0.019659376,0.0042621894,-1.3932593
160,-16.0,Baseline,-0.5319597,0.38271928,-0.021589706,0.004644332,-1.3899475
160,-15.5,Baseline,-0.5273615,0.37995484,-0.02330915,0.0050872457,-1.3879584
160,-15.0,Baseline,-0.5235462,0.37741476,-0.02480886,0.005599066,-1.3871906
160,-14.5,Baseline,-0.5202081,0.37506974,-0.026102375,0.0061859977,-1.3869637
160,-14.0,Baseline,-0.5168344,0.3728648,-0.027226005,0.006856514,-1.3861173
