Re,alpha,baseline_CL,baseline_CD,baseline_CDp,baseline_Cm,baseline_Top Xtr,baseline_Bot Xtr,baseline_Cpmin,baseline_Chinge,baseline_XCp,baseline_has_data,optimised_CL,optimised_CD,optimised_CDp,optimised_Cm,optimised_Top Xtr,optimised_Bot Xtr,optimised_Cpmin,optimised_Chinge,optimised_XCp,optimised_has_data,status
160,-30.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-29.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-29.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-28.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-28.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-27.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-27.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-26.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-26.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-25.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-25.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-24.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-24.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-23.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-23.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-22.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-22.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-21.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-21.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-20.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-20.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-19.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-19.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-18.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-18.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-17.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-17.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-16.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-16.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-15.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-15.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-14.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-14.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-13.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-13.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-12.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-12.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-11.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-11.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-10.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-10.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-9.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-9.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-8.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-8.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-7.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-7.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-6.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-6.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-5.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-5.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-4.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-4.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-3.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-3.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-2.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-2.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-1.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-1.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-0.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,0.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,0.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,1.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,1.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,2.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,2.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,3.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,3.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,4.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,4.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,5.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,5.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,6.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,6.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,7.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,7.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,8.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,8.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,9.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,9.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,10.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,10.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,11.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,11.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,12.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,12.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,13.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,13.5,,,,,,,,,,False,,,,,,,,,,False,none_converged
