Re,alpha,baseline_CL,baseline_CD,baseline_CDp,baseline_Cm,baseline_Top Xtr,baseline_Bot Xtr,baseline_Cpmin,baseline_Chinge,baseline_XCp,baseline_has_data,optimised_CL,optimised_CD,optimised_CDp,optimised_Cm,optimised_Top Xtr,optimised_Bot Xtr,optimised_Cpmin,optimised_Chinge,optimised_XCp,optimised_has_data,status
160,-30.0,,,,,,,,,,False,,,,,,,,,,False,none_converged
160,-29.5,-0.5793,0.51035,0.38615,0.0357,1.0,1.0,-1.3668,0.0,0.0,True,-1.0227,0.52462,0.37426,0.1033,1.0,1.0,-2.3242,0.0,0.0,True,both_converged
160,-29.0,-0.5746,0.5056,0.38021,0.033,1.0,1.0,-1.3752,0.0,0.0,True,-1.011,0.51944,0.36826,0.0986,1.0,1.0,-2.3226,0.0,0.0,True,both_converged
160,-28.5,-0.5697,0.50088,0.37431,0.0303,1.0,1.0,-1.3862,0.0,0.0,True,-0.9991,0.51428,0.36232,0.0939,1.0,1.0,-2.3201,0.0,0.0,True,both_converged
160,-28.0,-0.5648,0.4962,0.36845,0.0277,1.0,1.0,-1.3962,0.0,0.0,True,-0.987,0.50916,0.35644,0.0893,1.0,1.0,-2.3204,0.0,0.0,True,both_converged
160,-27.5,-0.5596,0.49141,0.36233,0.0251,1.0,1.0,-1.4047,0.0,0.0,True,-0.9744,0.50397,0.35031,0.0849,1.0,1.0,-2.3219,0.0,0.0,True,both_converged
160,-27.0,-0.5543,0.48668,0.35642,0.0225,1.0,1.0,-1.4137,0.0,0.0,True,-0.9618,0.49883,0.34445,0.0805,1.0,1.0,-2.3246,0.0,0.0,True,both_converged
160,-26.5,-0.549,0.482,0.35057,0.02,1.0,1.0,-1.4216,0.0,0.0,True,-0.9492,0.49371,0.33864,0.0761,1.0,1.0,-2.3266,0.0,0.0,True,both_converged
160,-26.0,-0.5436,0.47736,0.34478,0.0174,1.0,1.0,-1.4283,0.0,0.0,True,-0.9363,0.48863,0.3329,0.0718,1.0,1.0,-2.3277,0.0,0.0,True,both_converged
160,-25.5,-0.5381,0.47278,0.33907,0.0149,1.0,1.0,-1.4351,0.0,0.0,True,-0.9234,0.48359,0.32723,0.0675,1.0,1.0,-2.3278,0.0,0.0,True,both_converged
160,-25.0,-0.5324,0.46807,0.33306,0.0126,1.0,1.0,-1.4431,0.0,0.0,True,-0.91,0.47845,0.32127,0.0634,1.0,1.0,-2.3267,0.0,0.0,True,both_converged
160,-24.5,-0.5268,0.46347,0.32731,0.0101,1.0,1.0,-1.4513,0.0,0.0,True,-0.8967,0.47339,0.31563,0.0593,1.0,1.0,-2.3265,0.0,0.0,True,both_converged
160,-24.0,-0.5211,0.45893,0.32164,0.0077,1.0,1.0,-1.4584,0.0,0.0,True,-0.8834,0.46838,0.31005,0.0553,1.0,1.0,-2.3253,0.0,0.0,True,both_converged
160,-23.5,-0.5153,0.45445,0.31604,0.0054,1.0,1.0,-1.4643,0.0,0.0,True,-0.87,0.46341,0.30454,0.0514,1.0,1.0,-2.3229,0.0,0.0,True,both_converged
160,-23.0,-0.5094,0.44994,0.31033,0.0032,1.0,1.0,-1.4673,0.0,0.0,True,-0.8562,0.45841,0.29886,0.0476,1.0,1.0,-2.3169,0.0,0.0,True,both_converged
160,-22.5,-0.5036,0.44546,0.30471,0.0009,1.0,1.0,-1.4714,0.0,0.0,True,-0.8425,0.45343,0.29339,0.0438,1.0,1.0,-2.3136,0.0,0.0,True,both_converged
160,-22.0,-0.4978,0.44105,0.29918,-0.0013,1.0,1.0,-1.4781,0.0,0.0,True,-0.8288,0.4485,0.28801,0.0401,1.0,1.0,-2.309,0.0,0.0,True,both_converged
160,-21.5,-0.4919,0.43672,0.29374,-0.0035,1.0,1.0,-1.4838,0.0,0.0,True,-0.8151,0.44363,0.2827,0.0365,1.0,1.0,-2.3094,0.0,0.0,True,both_converged
160,-21.0,-0.4861,0.43247,0.28842,-0.0056,1.0,1.0,-1.4881,0.0,0.0,True,-0.8013,0.43881,0.27748,0.033,1.0,1.0,-2.3086,0.0,0.0,True,both_converged
160,-20.5,-0.4801,0.42812,0.2829,-0.0076,1.0,1.0,-1.4899,0.0,0.0,True,-0.7872,0.43391,0.27203,0.0297,1.0,1.0,-2.3052,0.0,0.0,True,both_converged
160,-20.0,-0.4743,0.42389,0.27756,-0.0096,1.0,1.0,-1.4923,0.0,0.0,True,-0.7734,0.42906,0.26682,0.0263,1.0,1.0,-2.3038,0.0,0.0,True,both_converged
160,-19.5,-0.4685,0.41973,0.27231,-0.0116,1.0,1.0,-1.4934,0.0,0.0,True,-0.7597,0.42427,0.2617,0.023,1.0,1.0,-2.301,0.0,0.0,True,both_converged
160,-19.0,-0.4628,0.41567,0.26716,-0.0135,1.0,1.0,-1.4966,0.0,0.0,True,-0.7459,0.41955,0.25667,0.0199,1.0,1.0,-2.2967,0.0,0.0,True,both_converged
160,-18.5,-0.457,0.41161,0.262,-0.0152,1.0,1.0,-1.4973,0.0,0.0,True,-0.732,0.41484,0.25156,0.0169,1.0,1.0,-2.2873,0.0,0.0,True,both_converged
160,-18.0,-0.4515,0.40759,0.25686,-0.017,1.0,1.0,-1.4989,0.0,0.0,True,-0.7182,0.41014,0.24659,0.0139,1.0,1.0,-2.2815,0.0,0.0,True,both_converged
160,-17.5,-0.4461,0.40367,0.25181,-0.0187,1.0,1.0,-1.4993,0.0,0.0,True,-0.7045,0.4055,0.24172,0.011,1.0,1.0,-2.2739,0.0,0.0,True,both_converged
160,-17.0,-0.4408,0.39984,0.24686,-0.0203,1.0,1.0,-1.4985,0.0,0.0,True,-0.6909,0.40093,0.23694,0.0082,1.0,1.0,-2.2646,0.0,0.0,True,both_converged
160,-16.5,-0.4354,0.39608,0.24203,-0.0217,1.0,1.0,-1.4952,0.0,0.0,True,-0.6774,0.39644,0.23226,0.0055,1.0,1.0,-2.2536,0.0,0.0,True,both_converged
160,-16.0,-0.4304,0.39225,0.23702,-0.0232,1.0,1.0,-1.4954,0.0,0.0,True,-0.6636,0.39193,0.22749,0.0031,1.0,1.0,-2.237,0.0,0.0,True,both_converged
160,-15.5,-0.4253,0.38847,0.23206,-0.0246,1.0,1.0,-1.4938,0.0,0.0,True,-0.6502,0.38754,0.22295,0.0006,1.0,1.0,-2.2272,0.0,0.0,True,both_converged
160,-15.0,-0.4203,0.38474,0.22717,-0.0259,1.0,1.0,-1.4905,0.0,0.0,True,-0.637,0.38322,0.2185,-0.0018,1.0,1.0,-2.2181,0.0,0.0,True,both_converged
160,-14.5,-0.4141,0.38323,0.22468,-0.0277,1.0,1.0,-1.4954,0.0,0.0,True,-0.6238,0.37912,0.21431,-0.0041,1.0,1.0,-2.2071,0.0,0.0,True,both_converged
160,-14.0,-0.409,0.37943,0.21979,-0.0288,1.0,1.0,-1.4891,0.0,0.0,True,-0.6105,0.37519,0.21024,-0.0062,1.0,1.0,-2.1902,0.0,0.0,True,both_converged
160,-13.5,-0.404,0.37566,0.2149,-0.0297,1.0,1.0,-1.4805,0.0,0.0,True,-0.5975,0.37138,0.20635,-0.0082,1.0,1.0,-2.1761,0.0,0.0,True,both_converged
160,-13.0,-0.3989,0.37195,0.20998,-0.0306,1.0,1.0,-1.4705,0.0,0.0,True,-0.5846,0.36784,0.20273,-0.0102,1.0,1.0,-2.16,0.0,0.0,True,both_converged
160,-12.5,-0.3936,0.36828,0.20504,-0.0314,1.0,1.0,-1.461,0.0,0.0,True,-0.572,0.36464,0.19945,-0.0121,1.0,1.0,-2.1421,0.0,0.0,True,both_converged
160,-12.0,-0.3881,0.36469,0.20007,-0.0321,1.0,1.0,-1.4488,0.0,0.0,True,-0.5597,0.36172,0.19642,-0.0138,1.0,1.0,-2.1224,0.0,0.0,True,both_converged
160,-11.5,-0.3824,0.3612,0.19508,-0.0327,1.0,1.0,-1.4336,0.0,0.0,True,-0.5471,0.359,0.1935,-0.0153,1.0,1.0,-2.0966,0.0,0.0,True,both_converged
160,-11.0,-0.3763,0.35785,0.19007,-0.0332,1.0,1.0,-1.4162,0.0,0.0,True,-0.5348,0.35631,0.19055,-0.0168,1.0,1.0,-2.0726,0.0,0.0,True,both_converged
