Re,baseline_converged,optimised_converged,expected_points,baseline_convergence_pct,optimised_convergence_pct
160,0,0,121,0.0,0.0
641,121,120,121,100.0,99.17355371900827
1597,121,120,121,100.0,99.17355371900827
3020,120,121,121,99.17355371900827,100.0
4896,121,120,121,100.0,99.17355371900827
7206,120,119,121,99.17355371900827,98.34710743801652
9930,117,118,121,96.69421487603306,97.52066115702479
13039,120,120,121,99.17355371900827,99.17355371900827
16506,120,116,121,99.17355371900827,95.86776859504133
20295,112,111,121,92.56198347107438,91.73553719008264
24371,119,111,121,98.34710743801652,91.73553719008264
28694,119,113,121,98.34710743801652,93.38842975206612
33222,117,102,121,96.69421487603306,84.29752066115702
37913,106,104,121,87.60330578512396,85.9504132231405
42721,109,102,121,90.08264462809917,84.29752066115702
47599,100,103,121,82.64462809917356,85.12396694214875
52501,99,114,121,81.81818181818181,94.21487603305785
57379,103,88,121,85.12396694214875,72.72727272727273
62187,111,92,121,91.73553719008264,76.03305785123968
66878,109,87,121,90.08264462809917,71.90082644628099
71406,94,99,121,77.68595041322314,81.81818181818181
75729,85,95,121,70.24793388429752,78.51239669421487
79805,95,91,121,78.51239669421487,75.20661157024793
83594,102,105,121,84.29752066115702,86.77685950413223
87061,100,103,121,82.64462809917356,85.12396694214875
90170,102,92,121,84.29752066115702,76.03305785123968
92894,98,96,121,80.99173553719008,79.33884297520662
95204,112,105,121,92.56198347107438,86.77685950413223
97080,99,91,121,81.81818181818181,75.20661157024793
98503,87,91,121,71.90082644628099,75.20661157024793
99459,99,104,121,81.81818181818181,85.9504132231405
99940,90,84,121,74.3801652892562,69.42148760330579
