Re,alpha_deg,CL_fit,CD_fit,CM_fit
160.16696,-29.963863,-0.67997664,0.48229656,0.042180613
1168.0425,-29.963863,-0.8555677,0.32361782,0.085407965
2175.918,-29.963863,-0.79871047,0.32229185,0.081931904
3183.7935,-29.963863,-0.8083433,0.3286013,0.08918575
4191.669,-29.963863,-0.85282564,0.33573157,0.09873293
5199.5444,-29.963863,-0.88620317,0.34643283,0.10185002
6207.42,-29.963863,-0.89790076,0.35621053,0.0984776
7215.2954,-29.963863,-0.8962375,0.3603123,0.09246345
8223.171,-29.963863,-0.8908734,0.35813716,0.08715731
9231.046,-29.963863,-0.8863306,0.35251638,0.08390294
10238.922,-29.963863,-0.882845,0.34701908,0.08244395
11246.798,-29.963863,-0.8792541,0.34387356,0.08189654
12254.673,-29.963863,-0.8749964,0.3433663,0.08149989
13262.548,-29.963863,-0.8705764,0.34439632,0.08091717
14270.424,-29.963863,-0.86703235,0.34546316,0.08018642
15278.3,-29.963863,-0.8651697,0.3454844,0.07951781
16286.175,-29.963863,-0.8651036,0.34416273,0.07909979
17294.049,-29.963863,-0.86624706,0.341906,0.07899498
18301.924,-29.963863,-0.86763644,0.3394827,0.079134494
19309.8,-29.963863,-0.8683738,0.3376255,0.07937554
20317.676,-29.963863,-0.86796147,0.33674693,0.07957664
21325.55,-29.963863,-0.86643595,0.33684072,0.07965385
22333.428,-29.963863,-0.86428094,0.3375565,0.07960213
23341.303,-29.963863,-0.8622001,0.33838028,0.07948109
24349.178,-29.963863,-0.8608462,0.3388373,0.079380564
25357.053,-29.963863,-0.8606123,0.3386458,0.07938111
26364.928,-29.963863,-0.86152685,0.33778256,0.07952492
27372.805,-29.963863,-0.8632854,0.3364569,0.07980413
28380.68,-29.963863,-0.8653695,0.33501524,0.080167465
29388.555,-29.963863,-0.867219,0.33381826,0.08054002
30396.432,-29.963863,-0.86839336,0.33312985,0.08084819
31404.307,-29.963863,-0.8686771,0.33304772,0.08104068
32412.182,-29.963863,-0.8681151,0.33349013,0.081101716
33420.06,-29.963863,-0.8669717,0.33423465,0.08105151
34427.934,-29.963863,-0.8656305,0.3349928,0.08093752
35435.81,-29.963863,-0.8644836,0.33549422,0.08081858
36443.684,-29.963863,-0.86382085,0.33555973,0.080747925
37451.562,-29.963863,-0.86376476,0.33514282,0.080759116
38459.438,-29.963863,-0.8642537,0.33433318,0.08085865
39467.312,-29.963863,-0.8650761,0.33332425,0.081026725
40475.188,-29.963863,-0.86594045,0.33235598,0.081224285
41483.062,-29.963863,-0.8665627,0.33165038,0.08140518
42490.938,-29.963863,-0.86674184,0.3313548,0.08152892
43498.812,-29.963863,-0.8664125,0.3315078,0.08157104
44506.69,-29.963863,-0.8656584,0.3320344,0.08152895
45514.566,-29.963863,-0.86468184,0.33277047,0.08142154
46522.44,-29.963863,-0.8637506,0.33350688,0.08128355
47530.316,-29.963863,-0.86312306,0.33404437,0.081155896
48538.19,-29.963863,-0.8629835,0.33424318,0.08107515
49546.066,-29.963863,-0.8633922,0.3340556,0.08106454
50553.938,-29.963863,-0.864274,0.3335357,0.08112845
51561.812,-29.963863,-0.8654359,0.3328223,0.08125221
52569.688,-29.963863,-0.86661494,0.33210182,0.081406556
53577.562,-29.963863,-0.8675487,0.33156028,0.081555605
54585.438,-29.963863,-0.86803496,0.33133513,0.08166641
55593.312,-29.963863,-0.8679849,0.33148146,0.08171762
56601.19,-29.963863,-0.8674439,0.33195776,0.08170462
57609.066,-29.963863,-0.86657834,0.33263722,0.08164071
58616.94,-29.963863,-0.86563176,0.333341,0.08155329
59624.816,-29.963863,-0.86486447,0.33388457,0.08147613
60632.69,-29.963863,-0.86448437,0.33412617,0.08144039
61640.566,-29.963863,-0.8645916,0.33400494,0.08146557
62648.44,-29.963863,-0.8651554,0.3335586,0.08155428
63656.32,-29.963863,-0.8660202,0.3329141,0.08169073
64664.195,-29.963863,-0.8669483,0.33225548,0.08184502
65672.07,-29.963863,-0.8676873,0.33177388,0.081981145
66679.945,-29.963863,-0.8680402,0.33161414,0.082067035
67687.82,-29.963863,-0.8679249,0.33183244,0.0820841
68695.695,-29.963863,-0.86740476,0.33237627,0.08203346
69703.57,-29.963863,-0.86667025,0.33309627,0.08193646
70711.445,-29.963863,-0.8659888,0.33378562,0.0818292
71719.32,-29.963863,-0.86562574,0.33424073,0.08175264
72727.195,-29.963863,-0.8657545,0.3343238,0.08173989
73735.08,-29.963863,-0.86639607,0.33401063,0.081805564
