Re,alpha_deg,CL,CD,CM
99939.836,29.963863,1.0726267,0.3447784,-0.1776566
99459.37,29.963863,1.0701146,0.34472966,-0.17728361
98503.06,29.963863,1.0651345,0.34463203,-0.17654474
97080.125,29.963863,1.057777,0.3444849,-0.17545378
95204.266,29.963863,1.0481741,0.3442892,-0.17403138
92893.55,29.963863,1.0364742,0.3440437,-0.17230001
90170.22,29.963863,1.0228298,0.3437484,-0.17028306
87060.51,29.963863,1.0074053,0.34340155,-0.16800399
83594.37,29.963863,0.9904913,0.34300077,-0.16550145
79805.18,29.963863,0.9728172,0.34254965,-0.16287293
75729.43,29.963863,0.9562164,0.3420711,-0.1603696
71406.375,29.963863,0.94493437,0.34164968,-0.1585896
66877.65,29.963863,0.9485971,0.34151107,-0.15891297
62186.86,29.963863,0.9861929,0.3421165,-0.16408056
57379.188,29.963863,1.0784976,0.34400517,-0.17708752
52500.93,29.963863,1.2115308,0.34702426,-0.19592099
47599.07,29.963863,1.3041652,0.34956944,-0.20902129
42720.812,29.963863,1.3170439,0.3508846,-0.21078677
37913.14,29.963863,1.3144671,0.3523671,-0.21029687
33222.35,29.963863,1.3169781,0.3543702,-0.21045125
28693.623,29.963863,1.3222651,0.3564282,-0.21093082
24370.568,29.963863,1.3278681,0.35844862,-0.21159677
20294.82,29.963863,1.3323758,0.36078674,-0.212675
16505.63,29.963863,1.3358121,0.36299396,-0.21397142
13039.491,29.963863,1.3387957,0.36620364,-0.21569891
9929.784,29.963863,1.3392546,0.3700909,-0.21926317
7206.456,29.963863,1.3384924,0.3734908,-0.22586055
4895.735,29.963863,1.3038456,0.37178487,-0.23157975
3019.874,29.963863,1.2713538,0.37928545,-0.22022824
1596.9388,29.963863,1.2620636,0.37579837,-0.21025364
640.6333,29.963863,1.2865323,0.39863077,-0.19973476
160.16696,29.963863,0.9617671,0.5293752,-0.123219535
99939.836,29.675295,1.0612375,0.3420176,-0.17467669
99459.37,29.675295,1.0587761,0.34197077,-0.17431235
98503.06,29.675295,1.0539006,0.3418785,-0.17359123
97080.125,29.675295,1.0467061,0.3417393,-0.17252776
95204.266,29.675295,1.0373185,0.34155366,-0.17114165
92893.55,29.675295,1.0258784,0.34132093,-0.16945438
90170.22,29.675295,1.0125237,0.34103966,-0.16748698
87060.51,29.675295,0.9973743,0.34070757,-0.1652564
83594.37,29.675295,0.9806668,0.34032065,-0.16279297
79805.18,29.675295,0.96304005,0.33987987,-0.160181
75729.43,29.675295,0.94614,0.33940533,-0.15764377
71406.375,29.675295,0.93387556,0.33897486,-0.15573052
66877.65,29.675295,0.9354939,0.33880836,-0.15576632
62186.86,29.675295,0.97056156,0.33937645,-0.16057435
57379.188,29.675295,1.0628788,0.34127423,-0.17358658
52500.93,29.675295,1.2008915,0.34439513,-0.19313577
47599.07,29.675295,1.2985821,0.3470428,-0.20696063
42720.812,29.675295,1.3117121,0.34837136,-0.20876884
37913.14,29.675295,1.3090923,0.34987053,-0.20828466
33222.35,29.675295,1.3116398,0.35189074,-0.20847039
28693.623,29.675295,1.3168805,0.35391873,-0.20898011
24370.568,29.675295,1.3222429,0.35600525,-0.2096932
20294.82,29.675295,1.3265579,0.35832387,-0.21082552
16505.63,29.675295,1.3298769,0.3605638,-0.21214218
13039.491,29.675295,1.3324206,0.3638875,-0.21391025
9929.784,29.675295,1.3325496,0.36770898,-0.21758156
7206.456,29.675295,1.3314433,0.37116772,-0.22419882
4895.735,29.675295,1.2956941,0.36908644,-0.22967844
3019.874,29.675295,1.263509,0.37627676,-0.2180258
1596.9388,29.675295,1.2542676,0.37297827,-0.20806675
640.6333,29.675295,1.2798389,0.3960631,-0.19769378
160.16696,29.675295,0.96097475,0.52703005,-0.12209914
99939.836,29.100937,1.0397643,0.33640826,-0.16886112
99459.37,29.100937,1.0374038,0.33636686,-0.16851416
98503.06,29.100937,1.0327332,0.33628428,-0.16782847
97080.125,29.100937,1.0258496,0.33616,-0.1668187
95204.266,29.100937,1.016875,0.33599448,-0.1655037
92893.55,29.100937,1.005932,0.33578625,-0.16390255
90170.22,29.100937,0.99311864,0.33553353,-0.16203001
87060.51,29.100937,0.9784965,0.3352319,-0.15989432
83594.37,29.100937,0.9622125,0.33487403,-0.1575124
79805.18,29.100937,0.9447371,0.33445728,-0.15494286
75729.43,29.100937,0.9273817,0.33399415,-0.15235965
71406.375,29.100937,0.9133363,0.3335514,-0.15020652
66877.65,29.100937,0.9108677,0.33333188,-0.14966603
62186.86,29.100937,0.9401449,0.3338144,-0.15364666
57379.188,29.100937,1.0311717,0.3357033,-0.16647726
52500.93,29.100937,1.1786406,0.33900824,-0.18738486
47599.07,29.100937,1.2869544,0.34186512,-0.20273265
42720.812,29.100937,1.3007991,0.34323162,-0.20465675
37913.14,29.100937,1.2980683,0.3447714,-0.20418315
33222.35,29.100937,1.3006517,0.34680426,-0.20442815
28693.623,29.100937,1.3057554,0.3487867,-0.2050004
24370.568,29.100937,1.3106157,0.35101944,-0.20581922
20294.82,29.100937,1.3145247,0.35327357,-0.20705032
16505.63,29.100937,1.3176445,0.355602,-0.20840809
13039.491,29.100937,1.319257,0.3591405,-0.21026364
9929.784,29.100937,1.3186932,0.36283702,-0.21416406
7206.456,29.100937,1.3166674,0.36644933,-0.22082467
4895.735,29.100937,1.2793894,0.3639557,-0.22576435
3019.874,29.100937,1.2474245,0.37014145,-0.21352503
1596.9388,29.100937,1.2383411,0.36723918,-0.2036047
640.6333,29.100937,1.2658087,0.39082503,-0.19346465
160.16696,29.100937,0.95895004,0.5221702,-0.11971744
99939.836,28.246323,1.0114131,0.3278228,-0.16059232
99459.37,28.246323,1.0091898,0.32778716,-0.16027029
98503.06,28.246323,1.004793,0.32771528,-0.15963386
97080.125,28.246323,0.99830925,0.32760918,-0.15869662
95204.266,28.246323,0.98984116,0.32746863,-0.1574746
92893.55,28.246323,0.9794834,0.327293,-0.15598257
90170.22,28.246323,0.9672803,0.3270799,-0.15422745
87060.51,28.246323,0.95324594,0.3268217,-0.15220943
83594.37,28.246323,0.93744934,0.32650894,-0.14993289
79805.18,28.246323,0.92023003,0.3261326,-0.14743504
75729.43,28.246323,0.9024861,0.32569784,-0.14482741
71406.375,28.246323,0.8863855,0.32525462,-0.14240335
66877.65,28.246323,0.87829477,0.32497275,-0.14106832
62186.86,28.246323,0.8976882,0.3253119,-0.14362915
