alpha_deg,Re,CL,CD,CM
29.963863,99939.836,0.99469334,0.3595853,-0.15352322
29.963863,99459.37,0.9926985,0.35945424,-0.15326181
29.963863,98503.06,0.98873836,0.35919437,-0.15274295
29.963863,97080.125,0.98286694,0.3588104,-0.15197444
29.963863,95204.266,0.975146,0.35830677,-0.1509647
29.963863,92893.55,0.9656153,0.3576863,-0.14971882
29.963863,90170.22,0.95429146,0.356948,-0.14823784
29.963863,87060.51,0.94121325,0.35608914,-0.1465233
29.963863,83594.37,0.9265441,0.35511145,-0.14458804
29.963863,79805.18,0.91075623,0.3540357,-0.14248091
29.963863,75729.43,0.8949732,0.35292992,-0.14033386
29.963863,71406.375,0.8820544,0.3519905,-0.13850902
29.963863,66877.65,0.8804038,0.3517868,-0.13810979
29.963863,62186.86,0.9118084,0.35378587,-0.14201728
29.963863,57379.188,1.0082194,0.36051583,-0.15445104
29.963863,52500.93,1.1632278,0.3727781,-0.17454714
29.963863,47599.07,1.262489,0.38199922,-0.18742317
29.963863,42720.812,1.2672318,0.38373256,-0.18805516
29.963863,37913.14,1.2651972,0.38531408,-0.1878124
29.963863,33222.35,1.2681516,0.38739982,-0.18823244
29.963863,28693.623,1.2720821,0.38987586,-0.1889803
29.963863,24370.568,1.2755063,0.39245802,-0.19014537
29.963863,20294.82,1.2778184,0.3947668,-0.19148591
29.963863,16505.63,1.2795345,0.39768368,-0.19292665
29.963863,13039.491,1.2787029,0.4013736,-0.19519986
29.963863,9929.784,1.2763743,0.4045536,-0.19973604
29.963863,7206.456,1.2685977,0.40823075,-0.20640847
29.963863,4895.735,1.2341158,0.4052632,-0.20915402
29.963863,3019.874,1.203189,0.40328848,-0.19640982
29.963863,1596.9388,1.1958385,0.40134922,-0.18695569
29.963863,640.6333,1.2246592,0.4291532,-0.17678492
29.963863,160.16696,0.94963694,0.5474519,-0.11127562
29.675295,99939.836,0.9870872,0.35625407,-0.15110758
29.675295,99459.37,0.9851188,0.3561264,-0.15085165
29.675295,98503.06,0.98121065,0.3558736,-0.15034348
29.675295,97080.125,0.9754109,0.35550016,-0.14959034
29.675295,95204.266,0.9677655,0.35501078,-0.14859836
29.675295,92893.55,0.95830417,0.35440743,-0.14737146
29.675295,90170.22,0.94703925,0.35368973,-0.14590985
29.675295,87060.51,0.93400276,0.3528541,-0.14421296
29.675295,83594.37,0.9193573,0.35190102,-0.14229378
29.675295,79805.18,0.90354615,0.35084847,-0.14019597
29.675295,75729.43,0.887557,0.34975448,-0.13803178
29.675295,71406.375,0.87387717,0.34879264,-0.1361141
29.675295,66877.65,0.8702835,0.3484876,-0.13546151
29.675295,62186.86,0.89863443,0.35027885,-0.13896275
29.675295,57379.188,0.99390274,0.35681894,-0.15123598
29.675295,52500.93,1.1526653,0.36917883,-0.17181183
29.675295,47599.07,1.2562028,0.37868378,-0.18524437
29.675295,42720.812,1.2612085,0.38047162,-0.18592773
29.675295,37913.14,1.2590594,0.38204357,-0.18569134
29.675295,33222.35,1.2619554,0.38411736,-0.18613741
29.675295,28693.623,1.2656604,0.38664994,-0.18693784
29.675295,24370.568,1.2689353,0.3891822,-0.18816948
29.675295,20294.82,1.2711265,0.39151993,-0.18953964
29.675295,16505.63,1.2724319,0.3945022,-0.19101344
29.675295,13039.491,1.2713459,0.39812022,-0.19335863
29.675295,9929.784,1.2687646,0.40123224,-0.19794534
29.675295,7206.456,1.2600207,0.40491232,-0.20455937
29.675295,4895.735,1.2255139,0.40248105,-0.20675963
29.675295,3019.874,1.1946601,0.3994085,-0.19411005
29.675295,1596.9388,1.1875247,0.3976901,-0.18467988
29.675295,640.6333,1.216659,0.42571718,-0.17449802
29.675295,160.16696,0.94785523,0.5443947,-0.109909475
29.100937,99939.836,0.9730709,0.3496329,-0.1464048
29.100937,99459.37,0.97115743,0.34951016,-0.1461601
29.100937,98503.06,0.9673511,0.34926772,-0.14567353
29.100937,97080.125,0.96168405,0.34891,-0.14494993
29.100937,95204.266,0.95416933,0.34844068,-0.14399166
29.100937,92893.55,0.94480866,0.34786314,-0.14279868
29.100937,90170.22,0.9335874,0.34717602,-0.14136685
29.100937,87060.51,0.92053545,0.34637728,-0.13969505
29.100937,83594.37,0.905839,0.34546724,-0.13779657
29.100937,79805.18,0.8899366,0.3444597,-0.13571273
29.100937,75729.43,0.87362593,0.34339842,-0.13352764
29.100937,71406.375,0.8587097,0.34241417,-0.13146237
29.100937,66877.65,0.8515739,0.34193912,-0.13034919
29.100937,62186.86,0.8735697,0.34332037,-0.13300575
29.100937,57379.188,0.96548814,0.34942403,-0.14481841
29.100937,52500.93,1.1309608,0.36189538,-0.1662502
