stage,thetadot,v_e_safe,q_e,F_ez,tau_e,thetaddot,ratio_|thetadot|,ratio_|v_e_safe|,ratio_|q_e|,ratio_|F_ez|,ratio_|tau_e|,ratio_|thetaddot|
0,0.000000e+00,6.708204e+00,2.756250e+01,-4.053721e-01,1.146900e-01,-2.071132e+02,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
1,-2.071132e+00,6.713000e+00,2.760193e+01,-4.038548e-01,1.142277e-01,-2.625690e+02,0.000000e+00,1.000715e+00,1.001431e+00,9.962570e-01,9.959690e-01,1.267756e+00
2,-4.696822e+00,6.858982e+00,2.881545e+01,-4.409723e-01,1.248949e-01,-3.219881e+02,2.267756e+00,1.021746e+00,1.043965e+00,1.091908e+00,1.093385e+00,1.226299e+00
3,-7.916703e+00,7.215551e+00,3.188931e+01,-5.602131e-01,1.601449e-01,-4.452422e+02,1.685545e+00,1.051986e+00,1.106674e+00,1.270404e+00,1.282238e+00,1.382791e+00
4,-1.236912e+01,7.990278e+00,3.910478e+01,-8.148043e-01,2.373697e-01,-6.941659e+02,1.562409e+00,1.107369e+00,1.226266e+00,1.454454e+00,1.482218e+00,1.559075e+00
5,-1.931078e+01,9.629537e+00,5.679589e+01,-1.438162e+00,4.305318e-01,-1.307689e+03,1.561209e+00,1.205157e+00,1.452403e+00,1.765040e+00,1.813761e+00,1.883827e+00
6,-3.238767e+01,1.331482e+01,1.085866e+02,-3.059185e+00,9.658905e-01,-3.008500e+03,1.677180e+00,1.382706e+00,1.911875e+00,2.127149e+00,2.243482e+00,2.300624e+00
7,-6.247267e+01,2.240547e+01,3.074782e+02,-7.243310e+00,2.894166e+00,-9.179150e+03,1.928903e+00,1.682748e+00,2.831640e+00,2.367725e+00,2.996370e+00,3.051071e+00
8,-1.542642e+02,4.997237e+01,1.529558e+03,-8.198431e+00,1.462251e+01,-4.677323e+04,2.469306e+00,2.230364e+00,4.974525e+00,1.131863e+00,5.052409e+00,5.095595e+00
9,-6.219964e+02,1.893555e+02,2.196149e+04,7.335045e+02,2.101485e+02,-6.731427e+05,4.032021e+00,3.789204e+00,1.435806e+01,8.946889e+01,1.437158e+01,1.439162e+01
10,-7.353423e+03,2.096045e+03,2.690961e+06,8.865009e+04,2.575130e+04,-8.294082e+07,1.182229e+01,1.106937e+01,1.225309e+02,1.208583e+02,1.225386e+02,1.232143e+02
11,-8.367616e+05,2.549382e+05,3.980851e+10,-6.987213e+08,3.803721e+08,-1.219084e+12,1.137921e+02,1.216282e+02,1.479342e+04,7.881789e+03,1.477098e+04,1.469824e+04
12,-1.219168e+10,3.666381e+09,8.233441e+18,-2.369448e+17,7.863179e+16,-2.522638e+20,1.457007e+04,1.438145e+04,2.068261e+08,3.391121e+08,2.067233e+08,2.069289e+08
13,-2.522638e+18,7.199238e+17,3.174528e+35,-5.720062e+33,3.036283e+33,-9.781958e+36,2.069147e+08,1.963581e+08,3.855651e+16,2.414090e+16,3.861394e+16,3.877671e+16
14,-9.781958e+34,2.816959e+34,4.860344e+68,7.150782e+66,1.656256e+66,-5.384155e+69,3.877671e+16,3.912857e+16,1.531045e+33,1.250123e+33,5.454879e+32,5.504169e+32
15,-5.384155e+67,1.602097e+67,1.572112e+134,-3.319119e+132,1.315359e+132,-4.230026e+135,5.504169e+32,5.687327e+32,3.234569e+65,4.641617e+65,7.941764e+65,7.856434e+65
16,-4.230026e+133,1.266035e+133,9.817425e+265,-1.991461e+264,4.422423e+263,-1.415879e+267,7.856434e+65,7.902365e+65,6.244737e+131,5.999970e+131,3.362141e+131,3.347211e+131
