stage,x,z,theta,phi,xdot,zdot,thetadot,r_e_x,r_e_z,x_edot,z_edot,v_e_safe,q_e,CL_e,CD_e,F_ex,F_ez,tau_e_term_rxfz,tau_e_term_rzfx,tau_e_term_M,tau_e,thetaddot
0,-8.5,0.0,0.0,0.0,6.0,3.0,0.0,-0.33868434111861867,-2.1101987955775332e-19,6.0,3.0,6.708203932499444,27.562500000000615,-0.8896490726886466,0.33429818178352344,0.046321047061191334,-0.4428988693593482,-0.15000291175115202,-9.774661771841619e-21,0.001042140484054208,-0.1489607712670978,438.36387505635145
1,-8.44,0.03,0.0,0.0,6.044775569678358,2.3038825111380383,4.383638750563515,-0.33868434111861867,-2.1101987955775332e-19,6.044775569678358,0.4655968198634665,6.0626802724907325,22.51310640294959,-0.1589033925056522,0.06516802486134933,-0.02019713689241441,-0.06255176807317601,-0.021185304355668264,4.261997394448745e-21,0.0001520398817889499,-0.021033264473879314,118.03985483489339
2,-8.379552244303216,0.05303882511138038,0.04383638750563515,0.0,6.001980653070478,1.9500641147992837,5.5640372989124485,-0.3383589804217227,-0.01484194350228844,6.1042307994448155,-0.3809820362562071,6.116108318599469,22.911653340965497,0.20999924716397225,0.07448358905040971,-0.02385978040175054,0.08344261863013742,0.02823355936341194,0.0003541255126997905,-0.00020448577299759821,0.028383199103114133,-17.109970367714464
3,-8.319532437772512,0.07253946625937321,0.09947676049475963,0.0,5.949991689770228,1.7648436812408066,5.392937595235304,-0.3370099757778215,-0.03363568261809214,6.174591183199793,-0.48551260555845493,6.193649874654344,23.496295496506036,0.32027337405484524,0.11304440510699985,-0.03498697485305554,0.1310749644488548,0.04417357059398737,0.001176810781924547,-0.0003198226080493653,0.04503055876786255,-65.99650428093085
4,-8.26003252087481,0.09018790307178129,0.15340613644711268,0.0,5.902555777163185,1.6496779829237518,4.732972552425995,-0.3347069461875692,-0.05175271097000165,6.20584028182864,-0.3117927976393145,6.213667866262866,23.648421865739476,0.36088515110443825,0.12986618734358651,-0.0448633333165649,0.14752120760920204,0.04937637289677841,0.0023217991222830286,-0.00036271048268195287,0.05133546153637949,-64.86549947832533
5,-8.201006963103179,0.1066846829010188,0.20073586197137264,0.0,5.870950289096811,1.51265046444738,4.084317557642741,-0.331883599953836,-0.06753043018251129,6.212459285853133,-0.16572230696528628,6.214669280131464,23.656044985113457,0.4035309343966128,0.14608987174950572,-0.054402115763389526,0.16379002995450226,0.05435922477784684,0.003673798280340473,-0.0004057027023212734,0.05762732035586604,-102.17142107485189
6,-8.14229746021221,0.12181118754549261,0.24157903754780005,0.0,5.825430548106601,1.4469005747887613,3.0626033468942224,-0.3288494296948504,-0.081025523807776,6.132683264954007,0.19988758481823338,6.13593995039166,23.060477433322603,0.3702721737881341,0.1340050887593926,-0.05723459353510974,0.14336869257724902,0.047146712790124674,0.004637462921107417,-0.00036289275708271425,0.051421282954149376,-119.60957439927071
7,-8.084043154731145,0.13628019329338023,0.2722050710167423,0.0,5.762126825856098,1.4471931171926224,1.8665076029015153,-0.3262141164405783,-0.09105730697668182,5.972566536927677,0.6932898150797503,6.012670106177668,22.14322360600508,0.28925432650232835,0.10115799069648905,-0.050380414897413725,0.10376840955912187,0.033850720038773,0.004587504904926396,-0.0002722134873066819,0.038166011456392715,-104.0977296873159
8,-8.026421886472583,0.15075212446530645,0.2908701470457574,0.0,5.6944296305610695,1.454499287070592,0.8255303060283563,-0.32445780115344824,-0.09712990368378989,5.793711309082544,1.122853584911032,5.901515983723125,21.33208318001046,0.19990815378929516,0.07378106115887197,-0.04006102624811313,0.06608066725488372,0.02144038799627224,0.0038911236209530067,-0.00018123943801231162,0.025150272179212937,-80.87326099251074
9,-7.9694775901669725,0.16529711733601238,0.29912545010604097,0.0,5.629045185797511,1.4486045464325197,0.016797696103248883,-0.32364491762839614,-0.09980506105534703,5.6311209853608535,1.441873204638957,5.812789510211789,20.695469657642278,0.10474903219602764,0.061860122530309154,-0.03022510712663927,0.03030278355790328,0.009807341888508724,0.003016618662178637,-9.213279274291208e-05,0.01273182775794445,-55.47911605860157
10,-7.913187138308998,0.17978316280033757,0.29929342706707346,0.0,5.569223042189175,1.4223895701888574,-0.5379934644827669,-0.32362814811159873,-0.09985942453674544,5.502703509343719,1.6379685536237367,5.7413140389988175,20.189645722823013,0.02220673679440023,0.059488844806454194,-0.021743906556025122,0.001479962975000639,0.00047895767687318913,0.0021713339958654354,-1.905471131290406e-05,0.00263123696142572,-33.50049936163273
11,-7.857494907887106,0.19400705850222613,0.2939134924222458,0.0,5.515658079606619,1.376777024710671,-0.8729984580990942,-0.3241606992114771,-0.09811688950266975,5.40960082517324,1.7271712731202478,5.678635548651438,19.75122728782479,-0.033689152684083346,0.060296961901689955,-0.015846253787708223,-0.016933779543926032,-0.005489265817252071,0.0015547851319198298,2.8279589751396418e-05,-0.0039062010955808447,-18.446367078662504
12,-7.802338327091039,0.20777482874933284,0.28518350784125485,0.0,5.4672432364729655,1.3169148966375734,-1.057462128885719,-0.3250048947725198,-0.09528326869317712,5.342486328718132,1.7424524147465426,5.619457321681267,19.341709111495785,-0.06655390043464143,0.061821059761973766,-0.012539903165714112,-0.02710792522373331,-0.00881020838484078,0.00119484296272516,5.470881275379722e-05,-0.007560656609361824,-9.481072320714102
13,-7.7476658947263095,0.22094397771570856,0.2746088865523977,0.0,5.422437074632617,1.248051914467523,-1.1522728520928602,-0.3259942891964191,-0.09184120170312629,5.291405482150916,1.7131541786062658,5.5618224725546455,18.946994894931,-0.08475815165647237,0.06324858548455783,-0.010972684467017208,-0.032248233990098595,-0.010512740117441993,0.0010077445273600882,6.825127133640619e-05,-0.009436744318745499,-4.544364471719534
14,-7.693441523979983,0.2334244968603838,0.26308615803146906,0.0,5.38000451727445,1.1740688851170673,-1.1977164968100555,-0.32703088558784543,-0.08807884417147181,5.249384790810982,1.6590512349924742,5.505314857692402,18.563951155426338,-0.09450252387331852,0.06440375550641407,-0.010392603497169908,-0.03456237068677146,-0.01130296269371026,0.0009153685039631213,7.455946008307384e-05,-0.010313034729664066,-2.0288565820797015
