stage,x,z,theta,phi,xdot,zdot,thetadot,r_e_x,r_e_z,x_edot,z_edot,v_e_safe,q_e,CL_e,CD_e,F_ex,F_ez,tau_e_term_rxfz,tau_e_term_rzfx,tau_e_term_M,tau_e,thetaddot
0,-8.5,0.0,0.0,0.0,6.0,3.0,0.0,-0.28146057142857145,-0.0,6.0,3.0,6.708203932499444,27.562500000000615,-0.9118547773239316,0.32701242363885646,0.05402762251099503,-0.45067845749384305,0.12684821617676423,0.0,0.0005983055252113973,0.12744652170197562,-249.14038968411657
1,-8.44,0.03,0.0,0.0,6.0491458429217975,2.30831059702324,-2.491403896841166,-0.28146057142857145,-0.0,6.0491458429217975,3.05573176607559,6.777142617293996,28.131918008774793,-0.9192673006874255,0.3319294680863583,0.05653436406233839,-0.4639829052385751,0.13059289364153806,0.0,0.0006262542144252188,0.13121914785596328,-314.4491883925021
2,-8.379508541570782,0.0530831059702324,-0.02491403896841166,0.0,6.039895934306068,1.8056078625008998,-5.635895780766187,-0.2813732233444165,0.007011594231776318,6.082015454791736,3.495851885902044,7.015118844359759,30.142284095300987,-0.9403004562930084,0.4925933099448863,0.021270024704739595,-0.5435240112620884,0.15293310301390076,-0.00014913678252949193,0.0010443029604768886,0.15382826919184817,-412.33517786788866
3,-8.319109582227721,0.0711391845952414,-0.08127299677607354,0.0,6.001143343618538,1.3787019547297845,-9.759247559445074,-0.28053151723072434,0.022849969565095142,6.238830464673937,4.296812130146831,7.575328378936557,35.148680029841955,-0.9798242145614754,0.7986709390151652,-0.060945328119446536,-0.7528675608745522,0.21120307912593284,0.0013925988926640905,0.001462610741690335,0.21405828876028726,-616.844026018541
4,-8.259098148791535,0.08492620414253925,-0.17886547237052428,0.0,5.935265736784178,0.9613373464466102,-15.927687819630483,-0.2769701983232845,0.050075567991371014,6.7853897988959995,5.663411422233058,8.83831113168363,47.845892992021206,-0.9842066553772376,1.1770231491046268,-0.22202837559100408,-1.2280515202181665,0.34013367310603665,0.011118197017920986,0.0020013347105933246,0.35325320483455097,-1060.372482857476
5,-8.199745491423693,0.09453957760700535,-0.3381423505668291,0.0,5.829288828365941,0.4685146266619942,-26.53141264820524,-0.2655221743535888,0.09337038178908955,8.469709952852439,7.977216473533163,11.63494603988594,82.91533122752271,-0.8159570094603728,1.5781125829757818,-0.8307287622231662,-2.3623867075465177,0.6272660552517672,0.07756546169195482,0.002875352192318244,0.7077068691360402,-2185.620673263254
6,-8.141452603140033,0.0992247238736253,-0.6034564770488815,0.0,5.600698357898394,-0.22130863568248643,-48.387619380837776,-0.2317487280112696,0.15972657992349473,13.838572226106352,11.731096476784668,18.14179444831169,201.58888230543562,-0.5041120792282759,1.8636382411496697,-3.754662524652245,-5.447673962542184,1.2624915114392639,0.5997194038296173,0.004318994100852523,1.8665299093697338,-5887.873026974939
7,-8.08544561956105,0.09701163751680043,-1.0873326708572593,0.0,4.873407545750104,-1.3901714201319413,-107.26634965058717,-0.1308365651566472,0.24920242070836388,33.36517872826528,13.568613756003858,36.018640046907706,794.622238882581,-0.19321836653704383,1.9811557790854397,-23.807765523668657,-12.499583011565985,1.6354025071236735,5.932952800155357,0.006525263467963289,7.574880570746994,-24184.04589926853
8,-8.036711544103548,0.08310992331548102,-2.159996167363131,0.0,1.049112508016846,-3.5117400955320734,-349.1068086432725,0.15640650240151333,0.2340022633980778,88.12182359032593,-61.71091303187949,107.58109768966257,7088.886705319042,-0.04342901868214158,1.999056515086262,-200.3350701201117,133.90343978926663,20.943368676970827,46.878859846118765,0.013084194209337643,67.83531271729893,-217189.42674312385
9,-8.02622041902338,0.047992522360160286,-5.651064253795855,0.0,-29.47199276943561,16.790387262702225,-2521.001076074511,-0.2270756576634602,-0.16630303354300247,-476.3375601792153,626.9554001606325,787.3820832531475,379731.95882969076,0.03519112172837761,1.9993806006479706,7627.310257145465,-10414.58145574015,2364.897933351871,1268.4448335369489,-0.5679357274615642,3632.774831161358,-11627824.332551943
10,-8.320940346717736,0.21589639498718255,-30.861075014540965,0.0,1140.1375151229438,-1580.331181843446,-118799.24440159394,-0.23923548236500353,-0.1482782426604863,-17635.504593312507,28712.715970118905,33696.158247513435,695451536.8928989,-0.008104541432969223,1.999967157664771,12456673.680927306,-20097880.06036253,4808126.030754816,1847053.6828030325,239.54342130325145,6655419.256979152,-21448889975.978714
11,3.080434804511702,-15.587415423447277,-1218.8535190304804,0.0,1670975.7236864786,-2695731.0659949146,-214607699.00418875,-0.2804579685937695,-0.02373565084749443,-3758402.9493831643,61457239.6344562,61572054.507031895,2322059711432855.5,-0.04668675520228564,1.998909578935292,6656063506588.507,-78647350430033.25,22057276136889.45,157985999411.13425,4607400915.792119,22219869537216.375,-7.1506234132740504e+16
12,16712.8376716693,-26972.898075372595,-2147295.843560918,0.0,916156067156.6644,-10825187247098.312,-715062555935104.0,0.003919859275263526,-0.28143327445801447,-213581805978874.8,-13812758022695.053,214027989126168.38,2.805738782925214e+28,0.10113627059031584,1.9948725821787847,9.52635176218042e+26,1.3268494434169058e+25,5.201063097656005e+22,2.6810323700693117e+26,-1.2059883162115882e+23,2.680346488062866e+26,-8.600692120433241e+29
13,9161577384.404316,-108251899443.8812,-7150627706646.884,0.0,1.4007125326599252e+26,1.9509406026233296e+24,-8.600692120433955e+27,0.06166683066015617,-0.27462202254231105,-2.3774459819784825e+27,-5.633617302190571e+26,2.443281775870528e+27,3.6563958247343874e+54,0.0230485637209755,1.9997343465693274,1.2128191564271604e+53,2.7266728763212774e+52,1.6814527452974518e+51,3.330668497160863e+52,-3.5816735666087195e+48,3.4984556043339473e+52,-1.1274545529193615e+56
14,1.4007125326599345e+24,1.9509406026125044e+22,-8.60069212043467e+25,0.0,1.6314462659866078e+52,3.669666005972884e+51,-1.1274545529193615e+54,0.25913014094761544,-0.10987093938511193,-1.1571947397417678e+53,-3.0773180922783417e+53,3.2877022837765634e+53,6.62050411288415e+106,-0.7187794209698849,0.30476180773047507,-6.364787708731962e+104,6.057964553948934e+104,1.5698012087204457e+104,-6.993052045451948e+103,2.0224398979347345e+102,8.907204031545982e+103,-2.884695316829665e+107
15,1.6314462659866078e+50,3.669666005972884e+49,-1.1274545529193615e+52,0.0,-9.408177963107967e+103,8.197393484400325e+103,-2.8846953168296653e+105,0.13409890769676874,-0.2474621915029273,-8.549553413854236e+104,-3.3034082284454835e+104,9.16555342028554e+104,5.145451381881612e+209,-0.8377780172440116,1.5460109832436457,9.973268399369093e+207,1.1709782557644245e+208,1.570269050346768e+207,2.468006854554768e+207,1.83206707402875e+205,4.056596575641823e+207,-1.2940189865618572e+211
16,-9.408177963107967e+101,8.197393484400325e+101,-2.8846953168296653e+103,0.0,1.825380358184217e+207,1.5921625950396917e+207,-1.2940189865618572e+209,-0.23163823206109718,0.1598867809310928,2.3877832945945292e+208,3.354096474298991e+208,inf,inf,-0.9350130361338367,0.6453866580911194,inf,-inf,inf,-inf,inf,nan,nan
