stage,x,z,theta,phi,xdot,zdot,thetadot,t,x_wdot,z_wdot,v_w_safe,alpha_w,Re,CL_w,CD_w,CM_w,F_wx,F_wz,M_w,r_e_x,r_e_z,x_edot,z_edot,v_e_safe,q_e,alpha_e,Re_e,CL_e,CD_e,CM_e,F_ex,F_ez,M_e,tau_w,tau_e,tau_e_term_rxfz,tau_e_term_rzfx,tau_e_term_M,xddot,zddot,thetaddot
0,-8.5,0.0,0.0,0.0,6.0,3.0,0.0,0.01,6.0,3.0,6.708203932499444,-0.46364754233414834,4593.376085696936,-0.7325219568703072,0.3034335833961722,0.08013129037690626,0.24472015584813578,-3.4442148082434025,0.003489617531801374,-0.33868434111861867,-2.1101987955775332e-19,6.0,3.0,6.708203932499444,27.562500000000615,-0.46364754233414834,4593.376085696936,-0.8896490726886466,0.33429818178352344,0.22241226817216164,0.046321047061191334,-0.4428988693593482,0.001042140484054208,-0.12706651471709662,-0.1489607712670978,-0.15000291175115202,-9.774661771841619e-21,0.001042140484054208,4.477556967835802,-69.61174888619615,438.36387505635145
1,-8.44,0.03,0.0,0.0,6.044775569678358,2.3038825111380383,4.383638750563515,0.01,6.1341186444870734,1.8781215863945147,6.4151969757698,-0.2971133785050847,4392.742479216324,-0.3650762478600926,0.1795174296422586,-0.005844431401719358,-0.2579698210588069,-1.5996178081287302,-0.00023276915873583925,-0.33868434111861867,-2.1101987955775332e-19,6.044775569678358,0.4655968198634665,6.0626802724907325,22.51310640294959,-0.07687286940455758,4151.360164226466,-0.1589033925056522,0.06516802486134933,0.03972584812641305,-0.02019713689241441,-0.06255176807317601,0.0001520398817889499,-0.05329361924539497,-0.021033264473879314,-0.021185304355668264,4.261997394448745e-21,0.0001520398817889499,-4.27949166078802,-35.38183963387548,118.03985483489339
2,-8.379552244303216,0.05303882511138038,0.04383638750563515,0.0,6.001980653070478,1.9500641147992837,5.5640372989124485,0.01,6.138954437247209,1.4151456159588227,6.299952277356208,-0.1827248298225603,4313.829815406012,-0.14646743748995633,0.11767657624248914,-0.0370123248246498,-0.31406848104987184,-0.6497254367602389,-0.001421621766104611,-0.3383589804217227,-0.01484194350228844,6.1042307994448155,-0.3809820362562071,6.116108318599469,22.911653340965497,0.10616830986186804,4187.944488700027,0.20999924716397225,0.07448358905040971,-0.05249981179099306,-0.02385978040175054,0.08344261863013742,-0.00020448577299759821,-0.017609458490334174,0.028383199103114133,0.02823355936341194,0.0003541255126997905,-0.00020448577299759821,-5.198896330024959,-18.522043355847714,-17.109970367714464
3,-8.319532437772512,0.07253946625937321,0.09947676049475963,0.0,5.949991689770228,1.7648436812408066,5.392937595235304,0.01,6.111380879440504,1.2545599050143892,6.238821748444309,-0.10299295228889548,4271.971292255046,-0.04834165674683818,0.08400495565177919,-0.045608893463204396,-0.2733464570927267,-0.24200200350971052,-0.0017179790781485034,-0.3370099757778215,-0.03363568261809214,6.174591183199793,-0.48551260555845493,6.193649874654344,23.496295496506036,0.1779460228164721,4241.040299861135,0.32027337405484524,0.11304440510699985,-0.08006834351371131,-0.03498697485305554,0.1310749644488548,-0.0003198226080493653,-0.003474132707964594,0.04503055876786255,0.04417357059398737,0.001176810781924547,-0.0003198226080493653,-4.743591260704341,-11.516569831705473,-65.99650428093085
4,-8.26003252087481,0.09018790307178129,0.15340613644711268,0.0,5.902555777163185,1.6496779829237518,4.732972552425995,0.01,6.068128801690545,1.2101264773897873,6.187616119733604,-0.04343484391372718,4236.90874604453,-0.09754213507416606,0.06364272721900478,-0.038748486965609126,-0.16057233911486682,-0.40055007770561835,-0.0014357031505306838,-0.3347069461875692,-0.05175271097000165,6.20584028182864,-0.3117927976393145,6.213667866262866,23.648421865739476,0.2036057521613144,4254.747421001683,0.36088515110443825,0.12986618734358651,-0.09022128777610956,-0.0448633333165649,0.14752120760920204,-0.00036271048268195287,-0.010491202249024454,0.05133546153637949,0.04937637289677841,0.0023217991222830286,-0.00036271048268195287,-3.1605488066374106,-13.702751847637174,-64.86549947832533
5,-8.201006963103179,0.1066846829010188,0.20073586197137264,0.0,5.870950289096811,1.51265046444738,4.084317557642741,0.01,6.031617464902142,1.1405243674957921,6.1385018592295975,0.013851453916131462,4203.278243463531,0.02482921619142035,0.06269804793842727,-0.03681020539260897,-0.24147620067297637,0.04648568726447724,-0.0013423204423104096,-0.331883599953836,-0.06753043018251129,6.212459285853133,-0.16572230696528628,6.214669280131464,23.656044985113457,0.22740533057133486,4255.4331292124325,0.4035309343966128,0.14608987174950572,-0.1008827335991532,-0.054402115763389526,0.16379002995450226,-0.0004057027023212734,0.006707588766867516,0.05762732035586604,0.05435922477784684,0.003673798280340473,-0.0004057027023212734,-4.551974099021014,-6.574988965861855,-102.17142107485189
6,-8.14229746021221,0.12181118754549261,0.24157903754780005,0.0,5.825430548106601,1.4469005747887613,3.0626033468942224,0.01,5.9571990631176375,1.173015778915997,6.071588482036358,0.04715905341952653,4157.459972327858,0.1556462430355304,0.07055421564676265,-0.0378662792678908,-0.35423960109316244,0.4961828330478479,-0.0013508915041585943,-0.3288494296948504,-0.081025523807776,6.132683264954007,0.19988758481823338,6.13593995039166,23.060477433322603,0.20899675590941535,4201.524001805356,0.3702721737881341,0.1340050887593926,-0.09256804344703352,-0.05723459353510974,0.14336869257724902,-0.00036289275708271425,0.023894015768655175,0.051421282954149376,0.047146712790124674,0.004637462921107417,-0.00036289275708271425,-6.330372225050341,0.029254240386103803,-119.60957439927071
7,-8.084043154731145,0.13628019329338023,0.2722050710167423,0.0,5.762126825856098,1.4471931171926224,1.8665076029015153,0.01,5.847506941608932,1.282811031393835,5.986563419394416,0.05624871022562003,4099.239904280693,0.18780386507595265,0.07381777059554062,-0.03794423497685252,-0.38965135452026917,0.5813716946476798,-0.0013160250510633059,-0.3262141164405783,-0.09105730697668182,5.972566536927677,0.6932898150797503,6.012670106177668,22.14322360600508,0.15664323412757009,4117.116199031662,0.28925432650232835,0.10115799069648905,-0.07231358162558209,-0.050380414897413725,0.10376840955912187,-0.0002722134873066819,0.027381848295993137,0.038166011456392715,0.033850720038773,0.004587504904926396,-0.0002722134873066819,-6.769719529502813,0.7306169877969477,-104.0977296873159
8,-8.026421886472583,0.15075212446530645,0.2908701470457574,0.0,5.6944296305610695,1.454499287070592,0.8255303060283563,0.01,5.7335424335256455,1.3825128428331683,5.8978683096216065,0.054259701008978756,4038.5068078739337,0.1808003480596056,0.07403175536653199,-0.03786607578710907,-0.3849378647150149,0.533253518597647,-0.0012746871922790638,-0.32445780115344824,-0.09712990368378989,5.793711309082544,1.122853584911032,5.901515983723125,21.33208318001046,0.09943782477440125,4041.0045165236597,0.19990815378929516,0.07378106115887197,-0.04997703844732379,-0.04006102624811313,0.06608066725488372,-0.00018123943801231162,0.025773693071309868,0.025150272179212937,0.02144038799627224,0.0038911236209530067,-0.00018123943801231162,-6.538444476355815,-0.58947406380722,-80.87326099251074
9,-7.9694775901669725,0.16529711733601238,0.29912545010604097,0.0,5.629045185797511,1.4486045464325197,0.016797696103248883,0.01,5.629853108702066,1.4471464031178873,5.812871814999911,0.04752384383948255,3980.3063014951867,0.15672056125870382,0.07295055186124444,-0.037730595288605784,-0.3586188263275485,0.43694987085829157,-0.0012337817142629008,-0.32364491762839614,-0.09980506105534703,5.6311209853608535,1.441873204638957,5.812789510211789,20.695469657642278,0.048456754995369944,3980.249944108128,0.10474903219602764,0.061860122530309154,-0.02618725804900691,-0.03022510712663927,0.03030278355790328,-9.213279274291208e-05,0.022202049565978182,0.01273182775794445,0.009807341888508724,0.003016618662178637,-9.213279274291208e-05,-5.982214360833657,-2.621497624366234,-55.47911605860157
