stage,x,z,theta,phi,xdot,zdot,thetadot,t,x_wdot,z_wdot,v_w_safe,alpha_w,Re,CL_w,CD_w,CM_w,F_wx,F_wz,M_w,r_e_x,r_e_z,x_edot,z_edot,v_e_safe,q_e,alpha_e,Re_e,CL_e,CD_e,CM_e,F_ex,F_ez,M_e,tau_w,tau_e,tau_e_term_rxfz,tau_e_term_rzfx,tau_e_term_M,xddot,zddot,thetaddot
0,-8.5,0.0,0.0,0.0,6.0,3.0,0.0,0.01,6.0,3.0,6.708203932499444,-0.46364754233414834,4593.376085696936,-0.7271383886304463,0.29542740382720184,0.07712778495870846,0.2654203564806904,-3.407652661855097,0.00335881862522063,-0.28146057142857145,-0.0,6.0,3.0,6.708203932499444,27.562500000000615,-0.46364754233414834,4593.376085696936,-0.9118547773239316,0.32701242363885646,0.12768958788024737,0.05402762251099503,-0.45067845749384305,0.0005983055252113973,-0.0495941565099151,0.12744652170197562,0.12684821617676423,0.0,0.0005983055252113973,4.914584292179775,-69.168940297676,-249.14038968411657
1,-8.44,0.03,0.0,0.0,6.0491458429217975,2.30831059702324,-2.491403896841166,0.01,6.0491458429217975,2.26595673077694,6.459622692904933,-0.35841215773062685,4423.162548244015,-0.49215624482575915,0.2152072391123107,0.017299130406863032,-0.11665877006458145,-2.1659348691566356,0.0006985568499839265,-0.28146057142857145,-0.0,6.0491458429217975,3.05573176607559,6.777142617293996,28.131918008774793,-0.4677598059985536,4640.581166118024,-0.9192673006874255,0.3319294680863583,0.13094906358675207,0.05653436406233839,-0.4639829052385751,0.0006262542144252188,-0.032958833339642106,0.13121914785596328,0.13059289364153806,0.0,0.0006262542144252188,-0.9249908615729701,-50.270273452234015,-314.4491883925021
2,-8.379508541570782,0.0530831059702324,-0.02491403896841166,0.0,6.039895934306068,1.8056078625008998,-5.635895780766187,0.01,6.037509161478546,1.7098273678415017,6.274952310795531,-0.30088831748736944,4296.711336346856,-0.3828812907765144,0.18293783949409703,-0.0030622665301422484,-0.273161864173684,-1.5937143892501613,-0.00011668822315136312,-0.2813732233444165,0.007011594231776318,6.082015454791736,3.495851885902044,7.015118844359759,30.142284095300987,-0.5465867327253182,4803.533026462104,-0.9403004562930084,0.4925933099448863,0.203798709202604,0.021270024704739595,-0.5435240112620884,0.0010443029604768886,-0.02498015713099331,0.15382826919184817,0.15293310301390076,-0.00014913678252949193,0.0010443029604768886,-3.87525906875299,-42.69059077711153,-412.33517786788866
3,-8.319109582227721,0.0711391845952414,-0.08127299677607354,0.0,6.001143343618538,1.3787019547297845,-9.759247559445074,0.01,5.987674406758732,1.2133423781228185,6.109373497168369,-0.28120569793818756,4183.332886546255,-0.338606695328438,0.17235724736853883,-0.00997662903049137,-0.3672591163038916,-1.3223523929660812,-0.00036036313541146903,-0.28053151723072434,0.022849969565095142,6.238830464673937,4.296812130146831,7.575328378936557,35.148680029841955,-0.6843887544990866,5187.130947007982,-0.9798242145614754,0.7986709390151652,0.24477711797068383,-0.060945328119446536,-0.7528675608745522,0.001462610741690335,-0.021304450488523776,0.21405828876028726,0.21120307912593284,0.0013925988926640905,0.001462610741690335,-6.58776068343597,-41.73646082831743,-616.844026018541
4,-8.259098148791535,0.08492620414253925,-0.17886547237052428,0.0,5.935265736784178,0.9613373464466102,-15.927687819630483,0.01,5.887092039931175,0.6948864821520448,5.9279608559520405,-0.2963574235887876,4059.112380403157,-0.37453649260103594,0.18243203347179734,-0.004664045234435694,-0.466821529127533,-1.337646158381837,-0.00015861219972132363,-0.2769701983232845,0.050075567991371014,6.7853897988959995,5.663411422233058,8.83831113168363,47.845892992021206,-0.8743789910975277,6051.945855960003,-0.9842066553772376,1.1770231491046268,0.24605157067714045,-0.22202837559100408,-1.2280515202181665,0.0020013347105933246,-0.021903856462334358,0.35325320483455097,0.34013367310603665,0.011118197017920986,0.0020013347105933246,-10.597690841823646,-49.282271978461594,-1060.372482857476
5,-8.199745491423693,0.09453957760700535,-0.3381423505668291,0.0,5.829288828365941,0.4685146266619942,-26.53141264820524,0.01,5.67966496464504,0.043021522005961266,5.67982789897485,-0.3457168627845033,3889.205800024701,-0.47367318544406045,0.21343004326793327,0.012602472751664543,-0.6551092958158907,-1.4838144976926075,0.0003934497741303168,-0.2655221743535888,0.09337038178908955,8.469709952852439,7.977216473533163,11.63494603988594,82.91533122752271,-1.093604992037226,7966.913861855939,-0.8159570094603728,1.5781125829757818,0.20398925234935442,-0.8307287622231662,-2.3623867075465177,0.002875352192318244,-0.024735557090059306,0.7077068691360402,0.6272660552517672,0.07756546169195482,0.002875352192318244,-22.859047046754718,-68.98232623444807,-2185.620673263254
6,-8.141452603140033,0.0992247238736253,-0.6034564770488815,0.0,5.600698357898394,-0.22130863568248643,-48.387619380837776,0.01,5.133885505366609,-0.898611592055625,5.21193660510094,-0.43017651675904417,3568.821878842175,-0.6304527561128146,0.2652979710100018,0.048050253304683516,-0.9727277543116376,-1.512284136379272,0.001263156352757775,-0.2317487280112696,0.15972657992349473,13.838572226106352,11.731096476784668,18.14179444831169,201.58888230543562,-1.30661955684216,12422.413750241374,-0.5041120792282759,1.8636382411496697,0.12602801980706566,-3.754662524652245,-5.447673962542184,0.004318994100852523,-0.026664275051192055,1.8665299093697338,1.2624915114392639,0.5997194038296173,0.004318994100852523,-72.72908121482897,-116.88627844494548,-5887.873026974939
7,-8.08544561956105,0.09701163751680043,-1.0873326708572593,0.0,4.873407545750104,-1.3901714201319413,-107.26634965058717,0.01,3.258873845407577,-2.237835913446303,3.953247818666649,-0.4855957373708871,2706.9472207191975,-0.7489592205069128,0.3279985618937562,0.09322816059721811,-1.0501522215975199,-0.6529633785348754,0.0014099976068999514,-0.1308365651566472,0.24920242070836388,33.36517872826528,13.568613756003858,36.018640046907706,794.622238882581,-1.473575690492631,24663.4064043946,-0.19321836653704383,1.9811557790854397,0.04830459163426095,-23.807765523668657,-12.499583011565985,0.006525263467963289,-0.01775514616779071,7.574880570746994,1.6354025071236735,5.932952800155357,0.006525263467963289,-382.4295037733258,-212.15686754001322,-24184.04589926853
8,-8.036711544103548,0.08310992331548102,-2.159996167363131,0.0,1.049112508016846,-3.5117400955320734,-349.1068086432725,0.01,-3.885007786647335,-0.21378696247238604,3.8908855505700237,0.9266232077499938,2664.2452763824926,0.9603754803256133,1.2787094009088764,-0.24009385972536854,1.947885816670721,-1.3019619607436936,-0.0035175570189023998,0.15640650240151333,0.2340022633980778,88.12182359032593,-61.71091303187949,107.58109768966257,7088.886705319042,-1.5490749857715298,73665.08925088689,-0.04342901868214158,1.999056515086262,0.010857254670535395,-200.3350701201117,133.90343978926663,0.013084194209337643,0.032890379350288795,67.83531271729893,20.943368676970827,46.878859846118765,0.013084194209337643,-3052.1105277452457,2030.2127358234297,-217189.42674312385
9,-8.02622041902338,0.047992522360160286,-5.651064253795855,0.0,-29.47199276943561,16.790387262702225,-2521.001076074511,0.01,-4.149610616214758,-17.78563013484716,18.26329399532808,-3.8510557628988504,12505.609359573446,-0.9884898836091641,0.8487130210416602,0.24712247090229103,-24.84845584499705,33.92890655018512,0.0797689064261185,-0.2270756576634602,-0.16630303354300247,-476.3375601792153,626.9554001606325,787.3820832531475,379731.95882969076,-7.871580828631995,539152.0693041395,0.03519112172837761,1.9993806006479706,-0.008797780432094402,7627.310257145465,-10414.58145574015,-0.5679357274615642,0.7332783616558078,3632.774831161358,2364.897933351871,1268.4448335369489,-0.5679357274615642,116960.95078923795,-159712.15691061484,-11627824.332551943
10,-8.320940346717736,0.21589639498718255,-30.861075014540965,0.0,1140.1375151229438,-1580.331181843446,-118799.24440159394,0.01,2204.090567934286,-3296.9371871213125,3965.830309970445,-29.87956790796627,2715562.9567992142,0.06882095522174134,1.9976290273054242,-0.017205238805435334,-1602742.3708134938,2585900.9217275647,-261.8738542833755,-0.23923548236500353,-0.1482782426604863,-17635.504593312507,28712.715970118905,33696.158247513435,695451536.8928989,-32.98267054761375,23073110.03532921,-0.008104541432969223,1.999967157664771,0.0020261353582423057,12456673.680927306,-20097880.06036253,239.54342130325145,47013.92734478938,6655419.256979152,4808126.030754816,1847053.6828030325,239.54342130325145,166983558.61713555,-269415073.48130715,-21448889975.978714
11,3.080434804511702,-15.587415423447277,-1218.8535190304804,0.0,1670975.7236864786,-2695731.0659949146,-214607699.00418875,0.01,1978640.515160425,-6331066.072353812,6633054.794040513,-1217.5856338142944,4541918458.747697,0.4231880495409557,1.906041872501333,-0.10579701238523892,-701059931412.3911,8283650846146.786,-4504678011.221736,-0.2804579685937695,-0.02373565084749443,-3758402.9493831643,61457239.6344562,61572054.507031895,2322059711432855.5,-1220.4853940536275,42160853421.52827,-0.04668675520228564,1.998909578935292,0.01167168880057141,6656063506588.507,-78647350430033.25,4607400915.792119,124678692275.31544,22219869537216.375,22057276136889.45,157985999411.13425,4607400915.792119,91615439618094.08,-1082518455136724.5,-7.1506234132740504e+16
12,16712.8376716693,-26972.898075372595,-2147295.843560918,0.0,916156067156.6644,-10825187247098.312,-715062555935104.0,0.01,13071040583098.447,-10655891569814.498,16864166954600.82,-2147295.1596027254,1.1547571000215766e+16,-0.9847221265535181,1.1741330912719268,0.24618053163837952,-4.21720299890965e+25,-5.873805170470502e+23,6.775583025376299e+22,0.003919859275263526,-0.28143327445801447,-213581805978874.8,-13812758022695.053,214027989126168.38,2.805738782925214e+28,-2147292.7665503058,1.4655354202322877e+17,0.10113627059031584,1.9948725821787847,-0.02528406764757896,9.52635176218042e+26,1.3268494434169058e+25,-1.2059883162115882e+23,7.231486401280424e+23,2.680346488062866e+26,5.201063097656005e+22,2.6810323700693117e+26,-1.2059883162115882e+23,1.400712532659916e+28,1.9509406026341548e+26,-8.600692120433241e+29
13,9161577384.404316,-108251899443.8812,-7150627706646.884,0.0,1.4007125326599252e+26,1.9509406026233296e+24,-8.600692120433955e+27,0.01,2.8273056326317944e+26,3.398532528251855e+25,2.847658226291795e+26,-7150627706647.004,1.949905716717411e+29,-0.20017933013690392,1.9797592744066987,0.05004483253422598,-1.5237908353586527e+52,-3.413899724389024e+51,3.927336818797351e+48,0.06166683066015617,-0.27462202254231105,-2.3774459819784825e+27,-5.633617302190571e+26,2.443281775870528e+27,3.6563958247343874e+54,-7150627706643.975,1.6730129544110657e+30,0.0230485637209755,1.9997343465693274,-0.005762140930243875,1.2128191564271604e+53,2.7266728763212774e+52,-3.5816735666087195e+48,2.4658560439528553e+50,3.4984556043339473e+52,1.6814527452974518e+51,3.330668497160863e+52,-3.5816735666087195e+48,1.6314462659866077e+54,3.669666005972884e+53,-1.1274545529193615e+56
14,1.4007125326599345e+24,1.9509406026125044e+22,-8.60069212043467e+25,0.0,1.6314462659866078e+52,3.669666005972884e+51,-1.1274545529193615e+54,0.01,2.3796385735795171e+52,2.1315749602555284e+52,3.194728713373941e+52,-8.60069212043467e+25,2.1875587892023912e+55,-0.7187794209698849,0.30476180773047507,0.17969485524247122,2.4947203271178266e+103,-7.296587890887229e+103,1.7748709998320997e+101,0.25913014094761544,-0.10987093938511193,-1.1571947397417678e+53,-3.0773180922783417e+53,3.2877022837765634e+53,6.62050411288415e+106,-8.60069212043467e+25,2.251221519075623e+56,-0.7187794209698849,0.30476180773047507,0.17969485524247122,-6.364787708731962e+104,6.057964553948934e+104,2.0224398979347345e+102,1.0700492744271341e+102,8.907204031545982e+103,1.5698012087204457e+104,-6.993052045451948e+103,2.0224398979347345e+102,-9.408177963107968e+105,8.197393484400325e+105,-2.884695316829665e+107
15,1.6314462659866078e+50,3.669666005972884e+49,-1.1274545529193615e+52,0.0,-9.408177963107967e+103,8.197393484400325e+103,-2.8846953168296653e+105,0.01,-5.096561113166685e+103,1.0533843777968784e+104,1.170199982562359e+104,-1.1274545529193615e+52,8.0128282763493e+106,-0.8377780172440116,1.5460109832436457,0.2094445043110029,1.891703928828319e+207,-1.36072568988625e+207,2.775570889011227e+204,0.13409890769676874,-0.2474621915029273,-8.549553413854236e+104,-3.3034082284454835e+104,9.16555342028554e+104,5.145451381881612e+209,-1.1274545529193615e+52,6.276021766265951e+107,-0.8377780172440116,1.5460109832436457,0.2094445043110029,9.973268399369093e+207,1.1709782557644245e+208,1.83206707402875e+205,-1.29953420158973e+205,4.056596575641823e+207,1.570269050346768e+207,2.468006854554768e+207,1.83206707402875e+205,1.825380358184217e+209,1.5921625950396916e+209,-1.2940189865618572e+211
16,-9.408177963107967e+101,8.197393484400325e+101,-2.8846953168296653e+103,0.0,1.825380358184217e+207,1.5921625950396917e+207,-1.2940189865618572e+209,0.01,5.7574137821108946e+206,-2.1826952667748727e+206,inf,-2.8846953168296653e+103,inf,-0.9350130361338367,0.6453866580911194,0.23375325903345917,-inf,-inf,inf,-0.23163823206109718,0.1598867809310928,2.3877832945945292e+208,3.354096474298991e+208,inf,inf,-2.8846953168296653e+103,inf,-0.9350130361338367,0.6453866580911194,0.23375325903345917,inf,-inf,inf,nan,nan,inf,-inf,inf,nan,-inf,nan
