stage,x,z,theta,phi,xdot,zdot,thetadot,t,x_wdot,z_wdot,v_w_safe,alpha_w,Re,CL_w,CD_w,CM_w,F_wx,F_wz,M_w,r_e_x,r_e_z,x_edot,z_edot,v_e_safe,q_e,alpha_e,Re_e,CL_e,CD_e,CM_e,F_ex,F_ez,M_e,tau_w,tau_e,tau_e_term_rxfz,tau_e_term_rzfx,tau_e_term_M,xddot,zddot,thetaddot
0,-8.5,0.0,0.0,0.0,6.0,3.0,0.0,0.01,6.0,3.0,6.708203932499444,-0.46364754233414834,4593.376085696936,-0.727712779668964,0.30677585300234067,0.07717173236009639,0.22233546147806912,-3.4319917608882875,0.0033607324796168223,-0.28146057142857145,-0.0,6.0,3.0,6.708203932499444,27.562500000000615,-0.46364754233414834,4593.376085696936,-0.9045080079004383,0.3345115315402047,0.12671632052525691,0.04934528626478057,-0.44917088232891667,0.0005937451593611701,-0.049970458346438096,0.12701763836873367,0.1264238932093725,0.0,0.0005937451593611701,4.179703811428456,-69.5201945110339,-246.5636645394376
1,-8.44,0.03,0.0,0.0,6.041797038114285,2.3047980548896607,-2.465636645394376,0.01,6.041797038114285,2.2628822319179562,6.451662378433758,-0.35836546291220966,4417.711801890079,-0.4726367588930615,0.21904836876015937,0.016195801313239663,-0.15854018212792806,-2.0923889647639395,0.0006523923875547976,-0.28146057142857145,-0.0,6.041797038114285,3.044489048507974,6.765517350229215,28.035487822454684,-0.46676630548820597,4632.620879838339,-0.9094442931563127,0.33852631954420503,0.12896631350886326,0.050966649418769175,-0.459682187132881,0.0006146576970203835,-0.03186213647403982,0.12999706876297656,0.1293824110659562,0.0,0.0006146576970203835,-1.6549774262947519,-49.07263310610493,-314.0479446163759
2,-8.379582029618856,0.0530479805488966,-0.02465636645394376,0.0,6.0252472638513375,1.8140717238286115,-5.606116091558135,0.01,6.022897652240771,1.7187967181821393,6.26335040436044,-0.30264416281330353,4288.767046026573,-0.3694169118732597,0.1819781512188922,-0.005683010101411034,-0.279479006908601,-1.538217144001652,-0.00021575209729671522,-0.28137502069860754,0.0069390918538476875,6.066710998155445,3.4953953528840036,7.001626311658194,30.026447242463902,-0.54736180284938,4794.294148564163,-0.9318276178124463,0.4963869567023457,0.20243372210800242,0.017910411546560596,-0.5386323581864771,0.0010333221310851605,-0.024218572516211005,0.15246673107388317,0.15155769093365978,-0.0001242819908617982,0.0010333221310851605,-4.024132236339083,-41.7615308028943,-410.41522785472534
3,-8.319329556980342,0.07118869778718272,-0.08071752736952512,0.0,5.985005941487946,1.3964564157996686,-9.71026837010539,0.01,5.971695995073417,1.23191931833448,6.097440304296761,-0.2841566660403992,4175.161751125507,-0.3399170063150327,0.17115672848780975,-0.010882070062699496,-0.3560220559661083,-1.322210838109536,-0.00039153429816454863,-0.2805441664106313,0.0226941393725779,6.219887348803177,4.300052253420642,7.561577085102734,35.02118690854485,-0.6856071518621373,5177.71488499209,-0.9802460342789204,0.8011007907152904,0.24489269708086858,-0.060440665942720746,-0.751272492527424,0.0014579935958911481,-0.021317113548785706,0.21359475765591007,0.2107651151633434,0.001371648896675527,0.0014579935958911481,-6.407118798597369,-41.709743548260924,-615.3201262699487
4,-8.259479497565463,0.0851532619451794,-0.177820211070579,0.0,5.920934753501973,0.9793589803170594,-15.863469632804875,0.01,5.87323270020876,0.7139324021599576,5.916465315173949,-0.29878370594910897,4051.2409229111718,-0.3635847861796306,0.17754488480497646,-0.0067564574871388,-0.4484264590350636,-1.2952432477136584,-0.00022887948843992027,-0.27702238906223225,0.04978603445898436,6.762735693970437,5.663357418383562,8.820896287501792,47.657529430353534,-0.8749747010442517,6040.021214192116,-0.9839950154329216,1.178195648218688,0.2459986647547657,-0.21998509058430765,-1.2240565245283008,0.001993027062914246,-0.021271426710216257,0.3520362751352502,0.3390910627720428,0.010952185300293136,0.001993027062914246,-10.283254609528788,-48.568458034491684,-1058.501986768472
5,-8.200270150030443,0.09494685174834999,-0.3364549073986277,0.0,5.818102207406685,0.4936743999721425,-26.448489500489597,0.01,5.669661952036649,0.06926007283709101,5.6700849736192165,-0.3486702063576819,3882.5344285542424,-0.45017294812559616,0.20550606002857827,0.01124385941719831,-0.622235305005209,-1.4083301391095593,0.0003498305410603643,-0.2656793534592923,0.092922195488217,8.437636125701433,7.9833389964730515,11.61582562379232,82.64303551493953,-1.0941944058267739,7953.821346643707,-0.8152749476188038,1.5790740537003294,0.20381873688969482,-0.8242771340664674,-2.356740028752995,0.0028635138489354777,-0.023499975470113545,0.7055943219478565,0.6261371671107295,0.07659364098819153,0.0028635138489354777,-22.254037524179633,-67.73415642865467,-2182.8142390223506
6,-8.142089127956377,0.09988359574807142,-0.6009398024035237,0.0,5.595561832164889,-0.18366716431440416,-48.276631890713105,0.01,5.131521830611821,-0.860586559750987,5.20318417172319,-0.43478016775416206,3562.8287369261634,-0.6688284375687491,0.26156650697512535,0.05688248644891798,-0.9656950303207665,-1.614850420452805,0.0014903221248588193,-0.23214997351339411,0.15914283856532277,13.784503036042553,11.761969225742941,18.120608268432697,201.11832196101975,-1.307331957776341,12407.906723773089,-0.502881054576144,1.8643556241202677,0.12572026364403271,-3.7329265695263105,-5.4454154432475566,0.004298390238299425,-0.02769206097085609,1.8625199715879766,1.2641530509193475,0.5940685304303298,0.004298390238299425,-72.28648615149349,-118.42947482615939,-5871.7514814959195
7,-8.086133509634728,0.09804692410492738,-1.0837061213106547,0.0,4.8726969706499546,-1.367961912575998,-106.9941467056723,0.01,3.2653372487960723,-2.219310097293781,3.9481343260236517,-0.48676402581332434,2703.44580736667,-0.7799154366991791,0.31366564833559535,0.10095036656798753,-1.0526698964167391,-0.7070653933248634,0.0015228422605996327,-0.13173944773023663,0.24872629772629637,33.23786853277729,13.655829582443701,35.933794486345754,790.8830215394962,-1.4735321224600657,24605.30924861573,-0.1933038598572812,1.9811389390724827,0.048325964964320296,-23.650361127978673,-12.52656281931763,0.00649743148226489,-0.018075320406731224,7.5392066625093355,1.6502424677750207,5.88246676325205,0.00649743148226489,-380.04663114454473,-213.40428019449988,-24068.858907679783
8,-8.037406539928227,0.0843673049791674,-2.153647588367378,0.0,1.0722306592045072,-3.502004714520997,-347.6827357824701,0.01,-3.862515164364023,-0.24876741104084532,3.870517874876565,0.923628331292162,2650.2987125342606,0.9620276533711077,1.2729520111096406,-0.2405069014515747,1.931323698041007,-1.273227737000987,-0.003486814778866344,0.15491777859753347,0.23499050011288447,88.15598048688446,-60.91207477593544,107.15296425723885,7032.576621331778,-1.5490159383391904,73371.92913086506,-0.043547001822983794,1.99905137937557,0.010886750455745949,-199.58279900274826,131.575209252618,0.013015524145349847,0.03245975000614359,67.29641641165168,20.383339135921215,46.90006175158511,0.013015524145349847,-3040.7919277647266,1994.8358694710312,-215463.4917324223
9,-8.026684233336182,0.049347257833957436,-5.630474946192079,0.0,-29.33568861844276,16.446353980189315,-2502.317653106693,0.01,-3.4997304622075482,-17.34867268434428,17.69815123725125,-3.860621165170354,12118.633463182101,-0.9912030666499488,0.8676501580517118,0.2478007666624872,-24.251549203726572,31.7225256799982,0.07511412796113659,-0.2236037060572996,-0.1709427854761315,-485.26436196376994,612.8291774719586,781.6911805521808,374262.67482375057,-7.871018472570165,535255.2801433322,0.03406708422966971,1.9994195484240282,-0.008516771057417428,7727.261601161067,-10107.734721238694,-0.5418766178577933,0.6956135073223816,3580.5046891003853,2260.126943513018,1320.9196222052249,-0.5418766178577933,118507.84695318984,-155025.38223936455,-11460430.736143522
10,-8.32004111952061,0.2138107976358506,-30.65365147725901,0.0,1155.7427809134556,-1533.8074684134563,-117106.6250145419,0.01,2530.535677876761,-2973.6961444238414,3904.6740678792153,-29.78791392741411,2673686.8268038225,-0.11418298136972653,1.9934597358552184,0.028545745342431633,-2034503.2198356644,2130835.964575242,421.1862098773797,-0.2035710867028919,-0.19436786238342396,-23105.308341968408,23875.99269647569,33225.26600073497,676149959.252002,-32.99344337278146,22750671.241419975,0.013440615469514718,1.9999096708482227,-0.0033601538673786796,15875193.554584434,-16626876.294036737,-386.23454308645364,46202.3188187144,6469992.47723621,3384751.2756516105,3085627.4361276864,-386.23454308645364,212933697.45767334,-223016014.87863836,-20852896462.96189
