stage,x,z,theta,phi,xdot,zdot,thetadot,t,x_wdot,z_wdot,v_w_safe,alpha_w,Re,CL_w,CD_w,CM_w,F_wx,F_wz,M_w,r_e_x,r_e_z,x_edot,z_edot,v_e_safe,q_e,alpha_e,Re_e,CL_e,CD_e,CM_e,F_ex,F_ez,M_e,tau_w,tau_e,tau_e_term_rxfz,tau_e_term_rzfx,tau_e_term_M,xddot,zddot,thetaddot
0,-8.5,0.0,0.0,0.0,6.0,0.5,0.0,0.01,6.0,0.5,6.020797289396231,-0.08314121809534006,4122.681207104742,-0.07005592337386433,0.07813858357537531,-0.04240508944664129,-0.2527611233912255,-0.2676780403827494,-0.001487610292559574,-0.28146057142857145,-0.0,6.0,0.5,6.020797289396231,22.203125000000618,-0.08314121809534006,4122.681207104742,-0.17578999859179692,0.06788851842255085,-0.020077284694258735,-0.020025945506837697,-0.0682513050741892,-7.57823384936284e-05,-0.0056471740812272814,0.01913426898843342,0.01921005132692705,-0.0,-7.57823384936284e-05,-4.196724136893279,-14.978143776260595,-43.16092481710083
1,-8.44,0.005,0.0,0.0,5.9580327586310675,0.35021856223739406,-0.43160924817100826,0.01,5.9580327586310675,0.3428812050184869,5.9678909066500925,-0.057485982157966485,4086.4540864429086,-0.09513065056014774,0.06930124870791535,-0.03964424041199941,-0.21962826140937888,-0.34106990287870326,-0.001366422587153827,-0.28146057142857145,-0.0,5.9580327586310675,0.4797013366886966,5.977312751173629,21.8835639817725,-0.08034006354239205,4092.90560099927,-0.17085766066488628,0.06748096290399648,-0.01981141768632672,-0.019922202966119566,-0.06537225748528477,-7.37025525064195e-05,-0.006666453980801517,0.018326010394877537,0.018399712947383958,-0.0,-7.37025525064195e-05,-3.685391759623053,-16.062956313292123,-37.312500672016604
2,-8.380419672413689,0.008502185622373941,-0.004316092481710083,0.0,5.921178841034837,0.18958899910447283,-0.8047342548911743,0.01,5.921119794991218,0.17590864419561314,5.92373222535764,-0.03401603021997732,4056.2168675590324,-0.09638693644046138,0.06413863933375183,-0.03723153614463914,-0.20799196203967943,-0.33364331893764176,-0.00126434318615577,-0.2814579498167976,0.00121480608453205,5.922220830039881,0.431007026907879,5.937884018486992,21.595810802914478,-0.07696593359892878,4065.9071674938878,-0.16476126124811744,0.06693032480435297,-0.01943490012677605,-0.020116608242146648,-0.06211262798629734,-7.1351112438937e-05,-0.006462871314526766,0.017435179596410465,0.017482092930756695,2.443777809270733e-05,-7.1351112438937e-05,-3.5093626197204006,-15.898553029599064,-35.113193469959526
3,-8.321207884003341,0.01039807561341867,-0.012363435030621827,0.0,5.886085214837633,0.030603468808482193,-1.1558661895907696,0.01,5.885842282925452,0.010955245341024888,5.88585247834794,-0.014224720179302135,4030.279086627292,-0.06547794526731994,0.06280244583393996,-0.03610879024297449,-0.2101426130240458,-0.21991296891106682,-0.001210583817367345,-0.2814390604414954,0.003479730838190097,5.890372248581996,0.3773368241165522,5.90244595957475,21.338806837241428,-0.07633594063126348,4041.641308261078,-0.16376670594065867,0.06710812676321884,-0.019334956145457598,-0.020496442812576267,-0.06084273510488192,-7.013943204705713e-05,-0.00466801623712598,0.01712470487468982,0.01712352220260876,7.13221041281214e-05,-7.013943204705713e-05,-3.548293166717262,-14.129318523322288,-39.86345506241418
4,-8.262347031854965,0.010704110301503492,-0.023922096926529524,0.0,5.85060228317046,-0.11068971642474068,-1.5545007402149114,0.01,5.849970165868978,-0.13710866786213055,5.851576687386148,-0.0004888924010573274,4006.809078841828,-0.026369674691082638,0.06359913986040097,-0.035895711442609425,-0.2127359839158544,-0.08241834191502903,-0.0011894646711263564,-0.2813800400099335,0.006732484898326764,5.861757294373075,0.3555270736468452,5.872529104077122,21.12304132291762,-0.08449983848950385,4021.156038286458,-0.17912065819029263,0.06971120598019515,-0.02006822530664508,-0.021092775545271728,-0.06571825877474503,-7.206333191308047e-05,-0.002548906186051648,0.01856174974433018,0.01849180628342092,0.000142006792822338,-7.206333191308047e-05,-3.597365530171171,-12.089024625996524,-51.243736451916526
5,-8.203841009023261,0.009597213137256085,-0.039467104328678636,0.0,5.814628627868748,-0.23157996268470593,-2.0669381047340765,0.01,5.8132421948133315,-0.2666905476642607,5.819356378825117,0.00637713073690533,3984.7465422363152,-0.002477825468996882,0.06459537811121563,-0.035926470217266186,-0.21184664350750626,0.0015896983914860186,-0.0011774097786207125,-0.2812413910247467,0.01110555011530286,5.83909509355257,0.3880185957780258,5.851973166567004,20.975423839609903,-0.1058213747018556,4007.0805640271547,-0.2166840572858238,0.07747090449356558,-0.020058052076520626,-0.02244080665513597,-0.0789273205993959,-7.15234444293379e-05,-0.001282617035642825,0.022375323493737345,0.022197629435230248,0.00024921750293643445,-7.15234444293379e-05,-3.604422310194496,-10.999809572429383,-67.50013430546701
6,-8.145694722744574,0.007281413510409026,-0.0601364853760194,0.0,5.778584404766803,-0.3415780584089998,-2.741939447788747,0.01,5.775782953780351,-0.38810676891857426,5.788807786864329,0.006958166722407011,3963.828696986474,-0.000280144191661896,0.06496130767901138,-0.03593357910186931,-0.2102537565790631,0.013217566779292903,-0.001165311185775434,-0.28095178822122024,0.016915849496747085,5.828021775115948,0.47951683293643227,5.847715297814697,20.944911700131325,-0.14222936216266127,4004.165030644496,-0.275407224862809,0.09509111634264823,-0.013732359880002485,-0.025703257616086685,-0.10050863147111934,-4.889592107058327e-05,-0.0011566499500995043,0.02862397625981785,0.028238079743478594,0.00043479243740984064,-4.889592107058327e-05,-3.6301079106946115,-11.15293945679733,-87.89996763106556
7,-8.087908878696906,0.0038656329263190283,-0.08755587985390687,0.0,5.742283325659857,-0.4531074529769731,-3.6209391240994027,0.01,5.736900622459528,-0.5144276237761687,5.7599187956152225,0.0018748766188683708,3944.047246857824,-0.01819963660111745,0.06468976637962129,-0.03590561449264968,-0.21208633832756138,-0.03964973686908241,-0.0011528114068502643,-0.28038241756885923,0.024612053696102316,5.837272205665669,0.6290132081853019,5.8710650157453985,21.11251020670458,-0.19489972875978867,4020.153518327621,-0.35990648430933536,0.12693530977061065,0.002917948041344178,-0.031456933669998494,-0.1333125497566315,1.0472885326937142e-05,-0.0020547749329932505,0.03816318761896085,0.03737849499303318,0.0007742197406007318,1.0472885326937142e-05,-3.7468195691932284,-12.470958255780214,-115.55286708712988
8,-8.030486045440307,-0.0006654416034507027,-0.1237652710949009,0.0,5.704815129967924,-0.5778170355347753,-4.776467794970701,0.01,5.694791032896126,-0.6583958774615027,5.732724486647988,-0.008662614196036492,3925.4262136074813,-0.05089207406682469,0.06431815670712253,-0.035986168613783585,-0.22179481567670084,-0.13729411724667645,-0.00114451352942814,-0.27930763739915687,0.034746179061863294,5.881710960646709,0.8441625278780636,5.9419806628822105,21.625619696315496,-0.2663150683480422,4068.7123040976567,-0.49920445678920905,0.17419426154979506,0.029777291412565143,-0.037317454644338624,-0.190761799251907,0.00010947190454466414,-0.003687143248493049,0.05468733832081221,0.0532812274550624,0.0012966389612051518,0.00010947190454466414,-3.9863426203236836,-14.857014099978208,-163.20902316760123
9,-7.973437894140628,-0.006443611958798456,-0.17152994904460792,0.0,5.664951703764688,-0.7263871765345573,-6.4085580266467135,0.01,5.646355793785472,-0.8337338632581094,5.707577936809892,-0.024930536494485928,3908.207363103475,-0.08623295282685621,0.0650944083459598,-0.036569654428939585,-0.24272590066227945,-0.238963837694535,-0.0011528896421014454,-0.27733007368975277,0.0480425175873858,5.993114821044961,1.1679661185869508,6.105863584489653,22.834961693843063,-0.3640020737877334,4180.92950866396,-0.7064362725958006,0.24267755323688167,0.07019993603135223,-0.04000924924703605,-0.2871909459811769,0.00027251218453164743,-0.0054555691387081304,0.08184134345713007,0.07964668621198959,0.0019221450606088314,0.00027251218453164743,-4.349771537066392,-17.904688979626336,-244.44705736384492
