stage,x,z,theta,phi,xdot,zdot,thetadot,r_e_x,r_e_z,x_edot,z_edot,v_e_safe,q_e,CL_e,CD_e,F_ex,F_ez,tau_e_term_rxfz,tau_e_term_rzfx,tau_e_term_M,tau_e,thetaddot
0,-8.5,0.0,0.0,0.0,6.0,0.5,0.0,-0.28146057142857145,-0.0,6.0,0.5,6.020797289396231,22.203125000000618,-0.17578999859179692,0.06788851842255085,-0.020025945506837697,-0.0682513050741892,0.01921005132692705,-0.0,-7.57823384936284e-05,0.01913426898843342,-43.16092481710083
1,-8.44,0.005,0.0,0.0,5.9580327586310675,0.35021856223739406,-0.43160924817100826,-0.28146057142857145,-0.0,5.9580327586310675,0.4797013366886966,5.977312751173629,21.8835639817725,-0.17085766066488628,0.06748096290399648,-0.019922202966119566,-0.06537225748528477,0.018399712947383958,-0.0,-7.37025525064195e-05,0.018326010394877537,-37.312500672016604
2,-8.380419672413689,0.008502185622373941,-0.004316092481710083,0.0,5.921178841034837,0.18958899910447283,-0.8047342548911743,-0.2814579498167976,0.00121480608453205,5.922220830039881,0.431007026907879,5.937884018486992,21.595810802914478,-0.16476126124811744,0.06693032480435297,-0.020116608242146648,-0.06211262798629734,0.017482092930756695,2.443777809270733e-05,-7.1351112438937e-05,0.017435179596410465,-35.113193469959526
3,-8.321207884003341,0.01039807561341867,-0.012363435030621827,0.0,5.886085214837633,0.030603468808482193,-1.1558661895907696,-0.2814390604414954,0.003479730838190097,5.890372248581996,0.3773368241165522,5.90244595957475,21.338806837241428,-0.16376670594065867,0.06710812676321884,-0.020496442812576267,-0.06084273510488192,0.01712352220260876,7.13221041281214e-05,-7.013943204705713e-05,0.01712470487468982,-39.86345506241418
4,-8.262347031854965,0.010704110301503492,-0.023922096926529524,0.0,5.85060228317046,-0.11068971642474068,-1.5545007402149114,-0.2813800400099335,0.006732484898326764,5.861757294373075,0.3555270736468452,5.872529104077122,21.12304132291762,-0.17912065819029263,0.06971120598019515,-0.021092775545271728,-0.06571825877474503,0.01849180628342092,0.000142006792822338,-7.206333191308047e-05,0.01856174974433018,-51.243736451916526
5,-8.203841009023261,0.009597213137256085,-0.039467104328678636,0.0,5.814628627868748,-0.23157996268470593,-2.0669381047340765,-0.2812413910247467,0.01110555011530286,5.83909509355257,0.3880185957780258,5.851973166567004,20.975423839609903,-0.2166840572858238,0.07747090449356558,-0.02244080665513597,-0.0789273205993959,0.022197629435230248,0.00024921750293643445,-7.15234444293379e-05,0.022375323493737345,-67.50013430546701
6,-8.145694722744574,0.007281413510409026,-0.0601364853760194,0.0,5.778584404766803,-0.3415780584089998,-2.741939447788747,-0.28095178822122024,0.016915849496747085,5.828021775115948,0.47951683293643227,5.847715297814697,20.944911700131325,-0.275407224862809,0.09509111634264823,-0.025703257616086685,-0.10050863147111934,0.028238079743478594,0.00043479243740984064,-4.889592107058327e-05,0.02862397625981785,-87.89996763106556
7,-8.087908878696906,0.0038656329263190283,-0.08755587985390687,0.0,5.742283325659857,-0.4531074529769731,-3.6209391240994027,-0.28038241756885923,0.024612053696102316,5.837272205665669,0.6290132081853019,5.8710650157453985,21.11251020670458,-0.35990648430933536,0.12693530977061065,-0.031456933669998494,-0.1333125497566315,0.03737849499303318,0.0007742197406007318,1.0472885326937142e-05,0.03816318761896085,-115.55286708712988
8,-8.030486045440307,-0.0006654416034507027,-0.1237652710949009,0.0,5.704815129967924,-0.5778170355347753,-4.776467794970701,-0.27930763739915687,0.034746179061863294,5.881710960646709,0.8441625278780636,5.9419806628822105,21.625619696315496,-0.49920445678920905,0.17419426154979506,-0.037317454644338624,-0.190761799251907,0.0532812274550624,0.0012966389612051518,0.00010947190454466414,0.05468733832081221,-163.20902316760123
9,-7.973437894140628,-0.006443611958798456,-0.17152994904460792,0.0,5.664951703764688,-0.7263871765345573,-6.4085580266467135,-0.27733007368975277,0.0480425175873858,5.993114821044961,1.1679661185869508,6.105863584489653,22.834961693843063,-0.7064362725958006,0.24267755323688167,-0.04000924924703605,-0.2871909459811769,0.07964668621198959,0.0019221450606088314,0.00027251218453164743,0.08184134345713007,-244.44705736384492
10,-7.916788377102981,-0.013707483724144029,-0.23561552931107504,0.0,5.621453988394024,-0.9054340663308207,-8.853028600285162,-0.27368405098001536,0.06570459274713093,6.24145341048863,1.6770939785071037,6.462846500424247,25.58313574392814,-0.9578825590071617,0.3794198293375021,-0.05125625980581876,-0.44514579471873894,0.1218293043753428,0.003367771676282458,0.0006924903781956966,0.12588956642982094,-382.7115793613335
11,-7.860573837219041,-0.022761824387452237,-0.32414581531392667,0.0,5.571546705682336,-1.113789060572769,-12.680144393898498,-0.26680298565405175,0.08964496703653713,6.783131462055256,2.4921515857267744,7.22645777388655,31.985786324131283,-0.9764831834349034,0.7825033503200942,-0.21627653481282244,-0.6451345863119875,0.17212383377672982,0.01938810283407194,0.001326092655902329,0.1928380292667041,-600.8265521953203
12,-7.804858370162218,-0.033899714993179925,-0.4509472592529117,0.0,5.491396478291109,-1.3348348328442063,-18.6884099158517,-0.2533242734530542,0.12266566654276242,7.934821765872557,3.711230241098945,8.759830269966034,46.9999586446506,-0.9788421615616402,1.2046166292404754,-0.5404942416500989,-1.1162079343134734,0.2827625639824951,0.06630008641453428,0.0019552350740714083,0.3510178854711008,-1100.0081055726232
13,-7.749944405379306,-0.047248063321621986,-0.6378313584114287,0.0,5.342561484329554,-1.639773079926057,-29.688490971577934,-0.22612231959163132,0.16759698640309176,10.646005862812867,5.515648806977998,11.989988431727728,88.0528913381909,-0.7894373739622533,1.6138311107610068,-1.6013460754534552,-2.160540746467782,0.4885464851635295,0.2683807764344171,0.0029542703404841063,0.7598815319384307,-2386.7670403482384
14,-7.696518790536011,-0.06364579412088256,-0.9347162681272081,0.0,4.985751839834231,-2.154317131877164,-53.55616137506032,-0.16720072163099714,0.22641548523670324,17.910415713999747,7.390141032454436,19.375169045142723,229.9307700108123,-0.4701750656781723,1.8825731740850171,-6.101343846831014,-4.505650905759918,0.7533480828604142,1.3814387276762177,0.004594577882878762,2.1393813884195105,-6778.429446871932
15,-7.646661272137669,-0.08518896543965421,-1.4702778818778113,0.0,3.8680276573068673,-3.0651230111552303,-121.34045584377964,-0.02824435951566796,0.28003983542426186,40.08641637761157,0.587804403777369,40.090725760658735,984.4506038600119,-0.1708695495715764,1.9852936603009312,-33.1797015676264,-3.346450413783158,0.09451834858824731,9.291638166424221,0.007149036828423632,9.393305551840891,-30018.081184251296
16,-7.6079809955646,-0.1158401955512065,-2.6836824403156077,0.0,-1.3705925037827145,-3.690538386457213,-421.5212676862926,0.2524640240573511,0.12442656398722594,54.53255874707235,-117.11916704911604,129.19248915390418,10223.05329294126,-0.044277844873502246,1.9990192552965924,-153.62028617717462,311.6986844981823,78.69270418179377,19.11444436776018,0.019237827633131976,97.82638637718708,-313268.36753077386
